CNES - Recursos Físicos - Ambulatório - Consultórios - Brasil
Clínica Básica por Município e Ano/mês compet.
Período:2017-2024
"Município";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez"
"110001 ALTA FLORESTA D'OESTE";19;19;19;19;19;18;18;18;18;18;18;19;19;20;20;20;20;20;20;20;20;20;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;23;23;23;23;23;23;23;31;32;32;33;34;34;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;37;38;39;39;39;39;39;39
"110002 ARIQUEMES";34;34;34;34;34;34;34;35;34;34;41;41;41;41;41;41;41;41;41;49;49;55;55;55;56;56;57;57;57;57;57;58;58;59;59;59;60;62;63;65;65;65;65;65;65;65;67;67;67;65;65;65;65;65;65;65;65;64;64;64;65;66;66;67;67;67;70;72;73;73;73;74;74;73;73;73;75;77;79;79;80;80;80;80;80;82;83;83;83;84;85;87;89;89;89;90
"110003 CABIXI";6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
"110004 CACOAL";83;85;85;85;85;85;83;84;87;87;88;89;90;90;91;93;94;95;97;97;101;102;105;106;106;107;109;109;109;109;109;106;108;108;110;111;111;112;112;112;113;114;115;115;115;115;117;117;118;118;118;118;120;127;129;131;137;139;141;143;151;158;163;169;172;173;184;189;199;193;194;196;200;203;205;208;209;209;212;218;217;224;228;232;236;238;238;239;239;241;243;244;244;244;245;248
"110005 CEREJEIRAS";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;9;10;10;8;8;8;8;8;8;8;8;8;8;8;9;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"110006 COLORADO DO OESTE";4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;7;7;8;9;9;9;9;9;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;6;6;7;8;8;8;8
"110007 CORUMBIARA";5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"110008 COSTA MARQUES";5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"110009 ESPIGAO D'OESTE";14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;16;16;16;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;24;24;24;24;24;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21
"110010 GUAJARA-MIRIM";8;8;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;8;8;8;8;8;8;9;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;11;11;14;14;14;15;15;15;15;15;15;15;15;15;15;14;19;20;20;20;20;20;20;20;20;20;19;19;19;19;19;24;24;24;24;24;24;24;24;24;25;25;25;25;25;25
