Municipio;2024/Jan;2024/Fev;2024/Mar;2024/Abr;2024/Mai;2024/Jun;2024/Jul;2024/Ago;2024/Set;2024/Out
110001 ALTA FLORESTA D'OESTE;36;36;36;36;37;38;39;39;39;39
110002 ARIQUEMES;80;82;83;83;83;84;85;87;89;89
110003 CABIXI;8;8;8;8;8;8;8;8;8;8
110004 CACOAL;236;238;238;239;239;241;243;244;244;244
110005 CEREJEIRAS;12;12;12;12;12;12;12;12;12;12
110006 COLORADO DO OESTE;5;5;5;6;6;6;6;7;8;8
110007 CORUMBIARA;10;10;10;10;10;10;10;10;10;10
110008 COSTA MARQUES;5;5;5;5;5;5;5;5;5;5
110009 ESPIGAO D'OESTE;21;21;21;21;21;21;21;21;21;21
110010 GUAJARA-MIRIM;24;24;24;24;24;24;25;25;25;25
110011 JARU;45;45;45;45;46;47;47;46;46;46
110012 JI-PARANA;325;331;333;338;357;361;373;382;388;388
110013 MACHADINHO D'OESTE;15;15;16;16;16;16;16;16;16;16
110014 NOVA BRASILANDIA D'OESTE;21;21;21;20;20;20;20;20;20;20
110015 OURO PRETO DO OESTE;47;47;47;47;47;47;47;47;47;47
110018 PIMENTA BUENO;38;39;40;40;40;40;42;43;44;45
110020 PORTO VELHO;688;684;694;703;709;709;703;707;712;720
110025 PRESIDENTE MEDICI;16;16;16;16;16;16;16;16;15;15
110026 RIO CRESPO;3;3;3;3;3;3;3;3;3;3
110028 ROLIM DE MOURA;85;79;80;81;84;82;84;85;90;90
110029 SANTA LUZIA D'OESTE;1;1;1;1;1;1;1;1;1;1
110030 VILHENA;125;125;123;123;122;122;122;122;121;121
110032 SAO MIGUEL DO GUAPORE;52;54;53;53;53;54;54;55;55;55
110033 NOVA MAMORE;12;12;12;11;13;13;13;13;13;13
110034 ALVORADA D'OESTE;6;6;6;6;7;7;8;8;8;8
110037 ALTO ALEGRE DOS PARECIS;9;9;9;9;9;9;9;9;9;9
110040 ALTO PARAISO;1;1;1;1;1;1;1;1;1;1
110045 BURITIS;20;20;20;20;20;20;20;20;20;20
110050 NOVO HORIZONTE DO OESTE;5;5;5;5;5;5;5;5;5;5
110060 CACAULANDIA;4;4;4;4;4;4;4;4;4;4
