CNES - Recursos Físicos - Ambulatório - Consultórios - Brasil
Clin.Especializada por Município e Ano/mês compet.
Período:2024
"Município";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez"
"110001 ALTA FLORESTA D'OESTE";7;7;7;7;7;7;7;7;7;7;7;7
"110002 ARIQUEMES";101;101;102;102;101;102;106;106;107;107;108;108
"110004 CACOAL";161;161;162;162;165;165;165;165;165;164;166;166
"110005 CEREJEIRAS";8;8;8;8;8;9;10;10;10;10;10;9
"110006 COLORADO DO OESTE";3;4;4;4;4;4;4;4;4;4;4;4
"110007 CORUMBIARA";-;-;-;-;1;1;1;1;1;1;1;1
"110008 COSTA MARQUES";-;4;4;4;4;4;4;4;4;4;4;4
"110009 ESPIGAO D'OESTE";3;3;3;3;3;3;3;3;3;3;3;3
"110010 GUAJARA-MIRIM";7;7;7;7;7;7;7;7;7;7;7;8
"110011 JARU";36;35;35;35;38;38;38;38;38;38;38;38
"110012 JI-PARANA";113;113;113;115;115;115;114;114;115;117;117;117
"110013 MACHADINHO D'OESTE";3;3;3;3;3;3;3;3;3;3;3;3
"110014 NOVA BRASILANDIA D'OESTE";7;7;7;7;7;7;7;7;7;9;9;9
"110015 OURO PRETO DO OESTE";76;78;81;85;87;88;91;91;91;91;91;91
"110018 PIMENTA BUENO";16;15;15;16;16;16;16;17;17;17;17;17
"110020 PORTO VELHO";703;708;708;705;701;696;699;703;701;704;707;708
"110025 PRESIDENTE MEDICI";9;12;12;11;11;11;11;11;7;7;7;7
"110026 RIO CRESPO";1;1;1;1;1;1;1;1;1;1;1;1
"110028 ROLIM DE MOURA";19;18;18;18;18;17;17;17;21;21;21;23
"110030 VILHENA";188;189;188;191;190;189;193;193;195;197;198;201
"110032 SAO MIGUEL DO GUAPORE";14;14;14;14;14;14;14;14;14;14;14;14
"110033 NOVA MAMORE";5;5;5;4;5;5;5;5;5;5;5;5
"110034 ALVORADA D'OESTE";5;5;5;5;5;5;5;5;5;5;5;5
"110037 ALTO ALEGRE DOS PARECIS";2;2;2;2;2;2;2;2;2;2;2;2
"110040 ALTO PARAISO";1;2;2;2;2;2;2;2;2;2;2;2
"110045 BURITIS";6;6;6;6;6;6;6;6;6;6;6;6
"110080 CANDEIAS DO JAMARI";5;5;5;6;6;6;6;6;6;6;6;6
"110090 CASTANHEIRAS";5;5;3;3;3;3;3;3;3;3;3;3
"110094 CUJUBIM";-;-;-;4;4;4;4;4;4;6;6;6
"110110 ITAPUA DO OESTE";2;2;2;2;2;2;2;3;3;3;3;3
"110120 MINISTRO ANDREAZZA";1;1;1;1;1;1;1;1;1;1;1;1
"110140 MONTE NEGRO";9;9;9;9;9;9;9;9;9;9;9;9
"110143 NOVA UNIAO";1;1;1;1;1;1;1;1;1;1;1;1
"110145 PARECIS";3;3;3;3;3;3;4;4;4;4;4;4
"110146 PIMENTEIRAS DO OESTE";1;1;1;1;1;1;1;1;1;1;1;1
"110147 PRIMAVERA DE RONDONIA";1;1;1;-;-;-;-;-;-;-;-;-
"110148 SAO FELIPE D'OESTE";-;-;-;-;3;3;3;3;3;3;3;3
"110149 SAO FRANCISCO DO GUAPORE";10;10;10;10;10;10;10;10;11;11;11;12
"110150 SERINGUEIRAS";8;9;9;10;10;10;10;10;10;10;10;10
"110160 THEOBROMA";2;2;2;2;2;2;2;2;2;2;2;3
"110175 VALE DO ANARI";2;2;3;3;3;3;3;3;3;3;3;3
"120010 BRASILEIA";12;12;12;12;12;12;12;12;12;12;12;12
"120020 CRUZEIRO DO SUL";27;27;27;27;27;27;27;27;29;29;29;29
"120030 FEIJO";3;3;3;3;3;2;2;2;2;2;2;2
"120034 MANOEL URBANO";1;1;1;1;1;1;1;1;1;1;1;1
"120038 PLACIDO DE CASTRO";-;-;-;-;-;-;-;1;1;1;1;1
"120039 PORTO WALTER";-;-;-;-;-;-;1;1;1;1;1;1
"120040 RIO BRANCO";328;330;334;334;341;340;341;341;342;378;379;378
"120042 RODRIGUES ALVES";1;1;1;1;1;1;1;1;1;1;1;1
"120045 SENADOR GUIOMARD";5;5;5;5;5;5;5;5;5;5;5;5
"120050 SENA MADUREIRA";1;1;1;1;1;1;1;1;1;1;1;1
"120060 TARAUACA";7;7;7;7;8;8;8;8;8;8;8;8
"120070 XAPURI";4;4;4;4;4;4;4;4;4;4;4;4
"130002 ALVARAES";1;1;1;1;1;1;1;1;1;1;1;1
"130006 AMATURA";2;2;2;2;2;2;2;2;2;2;2;2
"130008 ANAMA";1;1;1;1;1;1;1;1;1;1;1;1
"130014 APUI";3;3;3;3;3;3;3;3;3;3;3;3
"130040 BARCELOS";1;1;1;1;2;2;2;2;2;2;2;2
"130060 BENJAMIN CONSTANT";4;4;4;4;4;4;4;4;4;4;4;4
"130063 BERURI";3;3;3;3;3;3;3;3;3;3;3;3
"130070 BOCA DO ACRE";16;16;16;16;16;16;16;16;16;16;16;16
"130100 CARAUARI";4;4;4;4;4;4;4;4;4;4;4;4
"130110 CAREIRO";3;3;3;3;3;3;3;3;3;3;3;3
"130115 CAREIRO DA VARZEA";1;1;1;1;1;1;1;1;1;1;1;1
"130120 COARI";14;14;14;14;14;14;14;14;15;15;15;15
"130130 CODAJAS";3;3;3;4;4;4;4;4;5;6;6;6
"130140 EIRUNEPE";3;3;3;3;3;3;3;3;3;3;3;3
"130150 ENVIRA";1;1;1;1;1;1;1;1;1;1;1;1
"130160 FONTE BOA";1;1;1;1;1;1;1;1;1;1;1;1
"130165 GUAJARA";1;1;1;1;1;1;1;1;1;1;1;1
"130170 HUMAITA";19;19;19;19;19;19;19;19;19;19;19;19
"130185 IRANDUBA";3;3;3;3;3;3;3;6;6;6;6;6
"130190 ITACOATIARA";47;47;47;48;48;48;48;48;48;48;48;48
"130200 ITAPIRANGA";3;3;3;3;4;4;4;4;4;4;4;4
"130220 JURUA";2;2;2;2;2;2;2;2;2;2;2;2
"130230 JUTAI";1;1;1;1;1;1;1;1;1;1;1;1
"130240 LABREA";11;11;13;13;13;13;13;13;13;13;13;13
"130250 MANACAPURU";17;17;18;18;18;18;18;18;18;18;18;18
"130255 MANAQUIRI";8;8;8;8;8;8;8;8;8;8;8;8
"130260 MANAUS";1076;1058;1065;1017;1021;1016;1028;1010;1042;1043;1051;1046
"130270 MANICORE";14;14;15;15;15;15;15;15;15;15;15;15
"130290 MAUES";6;6;6;6;6;6;6;6;6;6;6;6
"130310 NOVA OLINDA DO NORTE";1;1;1;1;1;1;1;1;1;1;1;1
"130330 NOVO ARIPUANA";6;6;6;6;6;6;6;6;6;6;6;6
"130340 PARINTINS";52;55;55;55;55;55;55;55;55;55;55;55
"130353 PRESIDENTE FIGUEIREDO";13;13;13;13;13;13;13;13;13;13;13;13
"130356 RIO PRETO DA EVA";5;5;4;4;4;4;4;4;4;4;4;4
"130360 SANTA ISABEL DO RIO NEGRO";1;1;1;1;1;1;1;1;1;-;-;-
"130380 SAO GABRIEL DA CACHOEIRA";4;4;4;4;4;4;4;4;4;4;4;4
"130390 SAO PAULO DE OLIVENCA";1;1;1;1;1;1;1;1;1;1;1;1
"130406 TABATINGA";11;11;11;11;11;11;11;11;11;12;12;12
"130410 TAPAUA";1;1;1;1;1;1;1;1;-;-;1;1
"130420 TEFE";15;15;15;15;15;15;15;15;15;15;15;15
"130426 UARINI";1;1;1;1;1;1;1;1;1;1;1;1
"130430 URUCARA";1;1;1;1;1;1;1;1;1;1;1;1
"130440 URUCURITUBA";2;2;2;2;2;2;2;2;2;2;2;2
"140005 ALTO ALEGRE";5;5;5;5;5;5;6;6;6;6;6;6
"140010 BOA VISTA";315;323;324;329;335;335;336;338;342;342;343;346
"140015 BONFIM";1;1;1;1;1;1;1;1;1;1;1;1
"140017 CANTA";2;2;2;2;2;2;2;2;2;2;2;2
"140020 CARACARAI";3;2;2;2;2;2;2;2;2;2;2;2
"140030 MUCAJAI";2;2;2;2;2;2;2;4;4;4;4;4
"140040 NORMANDIA";1;1;1;1;1;1;1;1;1;1;1;1
"140045 PACARAIMA";2;2;2;2;2;2;2;2;2;2;2;2
"140047 RORAINOPOLIS";18;17;17;17;17;17;17;17;17;17;17;17
"140060 SAO LUIZ";2;2;2;2;2;2;2;2;2;2;2;1
"150010 ABAETETUBA";35;35;35;31;31;30;30;31;31;31;31;29
"150020 ACARA";1;1;1;1;1;1;1;1;1;1;1;1
