CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município e Ano/mês compet.
Período:2024
"Município";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez"
"110001 ALTA FLORESTA D'OESTE";55;55;55;55;55;55;55;55;55;55;55;55
"110002 ARIQUEMES";257;257;257;257;257;257;257;260;260;264;264;270
"110003 CABIXI";8;8;8;8;8;8;8;8;8;8;8;8
"110004 CACOAL";400;407;407;407;407;416;418;418;418;418;421;421
"110005 CEREJEIRAS";40;40;40;40;40;40;40;40;40;40;40;40
"110006 COLORADO DO OESTE";50;50;50;50;50;50;50;50;50;50;50;50
"110007 CORUMBIARA";10;10;10;10;10;10;10;10;10;10;10;10
"110008 COSTA MARQUES";45;45;45;45;45;45;45;45;45;45;45;45
"110009 ESPIGAO D'OESTE";54;54;54;54;54;54;54;54;54;54;54;54
"110010 GUAJARA-MIRIM";114;114;114;114;114;114;114;114;114;114;114;129
"110011 JARU";115;115;115;115;115;115;115;115;115;115;115;115
"110012 JI-PARANA";299;323;323;327;324;324;324;324;324;324;324;324
"110013 MACHADINHO D'OESTE";48;48;48;48;48;48;48;48;48;48;48;48
"110014 NOVA BRASILANDIA D'OESTE";44;44;44;44;44;44;44;44;44;44;44;44
"110015 OURO PRETO DO OESTE";158;158;158;158;158;158;158;158;158;158;158;131
"110018 PIMENTA BUENO";67;67;67;67;67;67;67;67;67;67;67;67
"110020 PORTO VELHO";1889;1889;1889;1890;1890;1904;1902;1886;1909;1907;1909;1912
"110025 PRESIDENTE MEDICI";48;48;48;48;48;48;48;48;48;48;48;48
"110026 RIO CRESPO";8;8;8;8;8;8;8;8;8;8;8;8
"110028 ROLIM DE MOURA";81;81;81;81;81;81;81;81;81;81;81;81
"110029 SANTA LUZIA D'OESTE";25;25;25;25;25;25;25;25;25;25;25;25
"110030 VILHENA";271;271;271;271;271;271;271;271;271;271;270;270
"110032 SAO MIGUEL DO GUAPORE";46;46;46;46;46;46;46;46;46;46;46;46
"110033 NOVA MAMORE";35;35;35;35;35;35;35;35;35;35;35;35
"110034 ALVORADA D'OESTE";35;35;35;35;35;35;35;35;35;35;35;35
"110037 ALTO ALEGRE DOS PARECIS";24;24;24;24;24;24;24;24;24;24;24;24
"110040 ALTO PARAISO";16;16;16;16;16;16;16;16;16;16;16;16
"110045 BURITIS";66;66;66;66;66;66;66;66;66;66;66;66
"110050 NOVO HORIZONTE DO OESTE";23;23;23;23;23;23;23;23;23;23;23;23
"110060 CACAULANDIA";13;13;13;13;13;13;13;13;13;13;13;13
"110070 CAMPO NOVO DE RONDONIA";19;19;19;19;19;19;19;19;19;19;19;19
"110080 CANDEIAS DO JAMARI";15;15;15;15;15;15;15;15;15;15;15;15
"110090 CASTANHEIRAS";19;19;12;12;12;12;12;12;12;12;12;12
"110092 CHUPINGUAIA";11;11;11;11;11;11;11;11;11;-;11;11
"110094 CUJUBIM";29;29;29;29;29;29;29;34;34;34;34;34
"110100 GOVERNADOR JORGE TEIXEIRA";22;22;22;22;22;22;22;22;22;22;22;22
"110110 ITAPUA DO OESTE";18;20;20;20;20;20;20;20;20;20;20;20
"110120 MINISTRO ANDREAZZA";16;16;16;16;16;16;16;16;16;16;16;16
"110130 MIRANTE DA SERRA";33;33;33;33;33;33;33;33;33;33;33;33
"110140 MONTE NEGRO";31;31;31;31;31;31;31;31;31;31;31;31
"110143 NOVA UNIAO";17;17;17;17;17;17;17;17;17;17;17;17
"110145 PARECIS";8;8;8;8;8;8;8;8;8;8;8;8
"110146 PIMENTEIRAS DO OESTE";6;6;6;6;6;6;6;6;6;6;6;6
"110147 PRIMAVERA DE RONDONIA";3;3;3;-;-;-;-;-;-;-;-;-
"110148 SAO FELIPE D'OESTE";12;12;12;12;12;12;12;12;12;12;12;12
"110149 SAO FRANCISCO DO GUAPORE";28;28;28;28;29;29;29;29;29;29;29;29
"110150 SERINGUEIRAS";36;36;36;36;36;36;36;36;36;36;36;36
"110155 TEIXEIROPOLIS";12;12;12;12;12;12;12;12;12;12;12;12
"110160 THEOBROMA";13;13;13;13;13;13;13;13;13;13;13;13
"110170 URUPA";25;25;25;25;25;25;25;25;25;25;25;25
"110175 VALE DO ANARI";12;12;12;12;12;12;12;12;12;12;12;12
"110180 VALE DO PARAISO";16;16;16;16;16;16;16;16;16;16;16;16
"120001 ACRELANDIA";7;7;7;7;7;7;7;7;7;7;7;7
"120005 ASSIS BRASIL";12;12;12;12;12;12;12;12;12;12;12;12
"120010 BRASILEIA";61;61;61;61;61;61;61;61;61;61;61;61
"120020 CRUZEIRO DO SUL";190;190;190;190;190;190;190;190;190;190;190;190
"120030 FEIJO";42;42;42;42;42;42;42;42;42;42;42;42
"120032 JORDAO";10;10;10;10;10;10;10;10;10;10;10;10
