CNES - Recursos Físicos - Ambulatório - Leitos de Repouso e Observação - Brasil
Leitos Repouso/Observação Femin por Município e Ano/mês compet.
Período:2024
"Município";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez"
"110004 CACOAL";4;4;4;4;4;4;4;4;4;4;4;4
"110007 CORUMBIARA";5;5;5;5;5;5;5;5;5;5;5;5
"110011 JARU";1;1;1;1;1;1;1;1;1;1;1;1
"110020 PORTO VELHO";9;9;9;9;9;9;9;9;9;9;9;9
"110028 ROLIM DE MOURA";1;1;1;1;1;1;1;1;1;1;1;1
"110037 ALTO ALEGRE DOS PARECIS";4;4;4;4;4;4;4;4;4;4;4;4
"110040 ALTO PARAISO";1;1;1;1;1;1;1;1;1;1;1;1
"110045 BURITIS";2;2;2;2;2;2;2;2;2;2;2;2
"110050 NOVO HORIZONTE DO OESTE";7;7;7;7;7;7;7;7;7;7;7;7
"110070 CAMPO NOVO DE RONDONIA";6;6;6;6;6;6;6;6;6;6;6;6
"110080 CANDEIAS DO JAMARI";5;5;5;5;5;5;5;5;5;5;5;5
"110090 CASTANHEIRAS";1;1;1;1;1;1;1;1;1;1;1;1
"110092 CHUPINGUAIA";3;3;3;3;3;3;3;3;3;-;3;3
"110120 MINISTRO ANDREAZZA";2;2;2;2;2;2;2;2;2;2;2;2
"110130 MIRANTE DA SERRA";1;1;1;1;1;1;1;1;1;1;1;1
"110143 NOVA UNIAO";1;1;1;1;1;1;1;1;1;1;1;1
"110145 PARECIS";3;3;3;3;3;3;3;3;3;3;3;3
"110147 PRIMAVERA DE RONDONIA";3;3;3;3;3;3;3;3;3;3;3;3
"110148 SAO FELIPE D'OESTE";3;3;3;3;3;3;3;3;3;3;3;3
"110150 SERINGUEIRAS";5;5;5;5;5;5;5;5;5;5;5;5
"110155 TEIXEIROPOLIS";6;6;6;6;6;6;6;6;6;6;6;6
"120020 CRUZEIRO DO SUL";8;8;8;8;8;8;8;8;8;8;8;8
"120033 MANCIO LIMA";4;4;4;4;4;4;4;4;4;4;4;4
"120040 RIO BRANCO";23;23;23;23;23;23;22;22;22;30;30;30
"130006 AMATURA";2;2;2;2;2;2;2;2;2;2;2;2
"130030 AUTAZES";7;7;7;7;7;7;7;7;7;7;7;7
"130063 BERURI";6;6;6;6;6;6;6;6;6;6;6;6
"130120 COARI";5;5;5;5;5;5;5;5;5;5;5;5
"130190 ITACOATIARA";3;3;3;3;3;3;3;3;3;3;3;3
"130230 JUTAI";1;1;1;1;1;1;1;1;1;1;1;1
"130260 MANAUS";26;26;26;26;26;26;26;26;26;26;30;30
"130270 MANICORE";8;8;8;8;8;8;8;8;8;8;8;8
"130340 PARINTINS";-;-;-;1;1;1;1;1;1;1;1;1
"130350 PAUINI";2;2;2;2;2;2;2;2;2;2;2;2
"130380 SAO GABRIEL DA CACHOEIRA";12;12;12;12;12;12;12;12;12;12;12;12
"130400 SILVES";5;5;5;5;5;5;5;5;5;5;5;5
"130410 TAPAUA";4;4;4;4;4;4;4;4;4;4;4;4
"130420 TEFE";1;1;1;1;1;1;1;1;1;1;1;1
"140010 BOA VISTA";4;4;4;4;4;4;4;4;4;4;4;4
"140023 CAROEBE";5;5;5;5;5;5;5;5;5;5;5;5
"150010 ABAETETUBA";8;8;8;8;8;8;8;8;8;8;8;8
"150060 ALTAMIRA";1;1;1;1;1;1;1;1;1;1;1;1
"150080 ANANINDEUA";19;19;19;19;19;19;19;19;19;19;19;19
"150085 ANAPU";1;1;1;1;1;1;1;1;1;1;1;1
"150120 BAIAO";1;1;1;1;1;1;1;1;1;1;1;1
"150140 BELEM";24;24;24;24;24;24;24;24;19;24;24;24
"150150 BENEVIDES";3;3;3;3;3;3;3;3;3;3;3;3
"150170 BRAGANCA";2;2;2;2;2;2;2;2;2;2;2;2
"150210 CAMETA";3;3;3;3;3;3;3;3;3;3;3;3
"150230 CAPITAO POCO";1;1;1;1;1;1;1;1;1;1;1;1
"150240 CASTANHAL";7;7;7;7;7;7;7;7;7;7;7;7
"150260 COLARES";5;5;5;5;5;5;5;5;5;5;5;5
"150276 CUMARU DO NORTE";3;3;3;3;3;3;3;3;3;3;3;3
"150285 CURUA";3;3;3;3;3;3;3;3;3;3;3;3
"150304 FLORESTA DO ARAGUAIA";1;1;1;1;1;1;1;1;1;1;1;1
"150307 GARRAFAO DO NORTE";3;3;3;3;3;3;3;3;3;3;3;3
"150345 IPIXUNA DO PARA";7;7;7;7;7;7;7;7;7;7;7;7
"150350 IRITUIA";3;3;3;3;3;3;3;3;3;3;3;3
"150360 ITAITUBA";2;2;2;2;2;2;2;2;2;2;2;2
"150380 JACUNDA";1;1;1;1;1;1;1;1;1;1;1;1
"150390 JURUTI";5;5;5;5;5;5;5;5;5;5;5;5
"150405 MAE DO RIO";4;4;4;4;4;4;4;4;4;4;4;4
"150420 MARABA";10;10;10;10;10;10;10;10;10;10;10;10
"150442 MARITUBA";4;4;4;4;4;4;4;4;4;4;4;4
"150445 MEDICILANDIA";1;1;1;1;1;1;1;1;1;1;1;1
"150460 MOCAJUBA";1;1;1;1;1;1;1;1;1;1;1;1
"150475 MOJUI DOS CAMPOS";2;2;2;2;2;2;2;2;2;2;2;2
"150495 NOVA ESPERANCA DO PIRIA";2;2;2;2;2;2;2;2;2;2;2;2
"150503 NOVO PROGRESSO";1;1;1;1;1;1;1;1;-;-;-;-
"150543 OURILANDIA DO NORTE";3;3;3;3;3;3;3;3;3;3;3;3
"150550 PARAGOMINAS";4;4;4;4;4;4;4;4;4;4;4;4
"150553 PARAUAPEBAS";9;9;9;9;9;9;10;10;10;10;10;10
"150563 PICARRA";2;2;2;2;2;2;2;2;2;2;2;2
"150570 PONTA DE PEDRAS";5;5;5;5;5;5;5;5;5;5;5;5
"150613 REDENCAO";1;1;1;1;1;1;1;1;1;1;1;1
"150650 SANTA IZABEL DO PARA";2;2;2;2;-;-;-;-;-;-;-;-
"150655 SANTA LUZIA DO PARA";3;3;3;3;3;3;3;3;3;3;3;3
"150680 SANTAREM";1;1;1;1;1;1;1;1;1;1;1;1
"150710 SAO CAETANO DE ODIVELAS";2;2;2;2;2;2;2;2;2;2;2;2
"150730 SAO FELIX DO XINGU";4;4;4;4;4;4;4;4;4;4;4;4
"150746 SAO JOAO DA PONTA";2;2;2;2;2;2;2;2;2;2;2;2
"150770 SAO SEBASTIAO DA BOA VISTA";2;2;2;2;2;2;2;2;2;2;2;2
"150795 TAILANDIA";1;1;1;1;1;1;1;1;1;1;1;1
"150796 TERRA ALTA";2;2;2;2;2;2;2;2;2;2;2;2
"150800 TOME-ACU";2;2;2;2;2;2;2;2;2;2;2;2
"150808 TUCUMA";9;9;9;9;14;14;14;14;14;14;14;14
"150820 VIGIA";9;9;9;9;9;9;9;9;9;9;9;9
"160015 PEDRA BRANCA DO AMAPARI";3;3;3;3;3;3;3;3;3;3;3;3
"160020 CALCOENE";4;4;4;4;4;4;4;4;4;4;4;4
"160025 ITAUBAL";4;4;4;4;4;4;4;4;4;4;4;4
"160030 MACAPA";13;13;13;13;13;13;13;10;10;10;10;10
"160050 OIAPOQUE";6;6;6;6;6;6;6;6;6;6;6;6
"160053 PORTO GRANDE";3;3;3;3;3;3;3;3;3;3;3;3
"170035 ALIANCA DO TOCANTINS";9;9;9;9;9;9;-;-;-;-;-;-
"170070 ALVORADA";2;2;2;2;2;2;2;-;-;-;-;-
"170110 APARECIDA DO RIO NEGRO";4;4;4;4;4;4;4;4;4;4;4;4
"170190 ARAGUACEMA";1;1;1;1;1;6;6;6;6;6;6;6
"170210 ARAGUAINA";6;6;6;6;6;6;6;6;6;6;6;6
"170215 ARAGUANA";3;3;3;3;3;3;3;3;3;3;3;3
"170290 AXIXA DO TOCANTINS";5;5;5;5;5;5;5;5;5;5;5;5
"170300 BABACULANDIA";4;4;4;4;4;4;4;4;4;4;4;4
"170310 BARROLANDIA";2;2;2;2;2;2;2;2;2;2;2;2
"170360 BRASILANDIA DO TOCANTINS";3;3;3;3;3;3;3;3;3;3;3;3
"170390 CASEARA";4;4;4;4;4;4;4;4;4;4;4;4
"170550 COLINAS DO TOCANTINS";1;1;1;1;1;1;1;1;1;1;1;1
"170560 CONCEICAO DO TOCANTINS";5;5;5;5;5;5;5;5;5;5;5;5
"170600 COUTO MAGALHAES";3;3;3;3;3;3;3;3;3;3;3;3
"170625 CRIXAS DO TOCANTINS";3;3;3;3;3;3;3;3;3;3;3;3
"170740 ESPERANTINA";6;6;6;6;6;6;6;6;6;6;6;6
"170755 FATIMA";4;4;4;4;4;4;4;4;4;4;4;4
"170825 FORTALEZA DO TABOCAO";3;3;3;3;3;3;3;3;3;3;3;3
"170900 GOIATINS";5;5;5;5;5;5;5;5;5;5;5;5
"170930 GUARAI";4;4;4;4;4;4;4;4;4;4;4;4
"170950 GURUPI";4;4;4;4;4;4;4;4;4;4;4;4
"170980 IPUEIRAS";1;1;1;1;1;1;1;1;1;1;1;1
"171050 ITACAJA";4;4;4;4;4;4;4;4;4;4;4;4
"171090 ITAPIRATINS";2;2;2;2;2;2;2;2;2;2;2;2
"171190 LAGOA DA CONFUSAO";4;4;4;4;4;4;4;4;4;4;4;4
"171195 LAGOA DO TOCANTINS";4;4;4;4;4;4;4;4;4;4;4;4
"171215 LAVANDEIRA";3;3;3;3;3;3;3;3;3;3;3;3
"171240 LIZARDA";6;6;6;6;6;6;6;6;6;6;6;6
"171245 LUZINOPOLIS";1;1;1;1;1;1;1;1;1;1;1;1
"171360 MONTE DO CARMO";5;5;5;5;5;5;5;5;5;5;5;5
"171395 MURICILANDIA";4;4;4;4;4;4;4;4;4;4;4;4
"171510 NOVO ACORDO";8;8;8;8;8;8;8;8;8;8;8;8
"171670 COLMEIA";2;2;2;2;2;2;2;2;2;2;2;2
"171720 PIRAQUE";7;7;7;7;7;7;7;7;7;7;7;7
"171800 PORTO ALEGRE DO TOCANTINS";3;3;3;3;3;3;3;3;3;3;3;3
"171820 PORTO NACIONAL";2;2;2;2;2;2;2;2;2;2;2;2
"171886 SANTA FE DO ARAGUAIA";2;2;2;2;2;2;2;2;2;2;2;2
"171890 SANTA ROSA DO TOCANTINS";3;3;3;3;3;3;3;3;3;3;3;3
"172030 SAO SEBASTIAO DO TOCANTINS";4;4;4;4;4;4;4;4;4;4;4;4
"172049 SAO VALERIO";3;3;3;3;3;3;3;3;3;3;3;3
"172065 SILVANOPOLIS";4;4;4;4;4;4;4;4;4;4;4;4
"172100 PALMAS";3;3;3;3;3;3;3;3;3;3;3;3
"172110 TOCANTINIA";2;2;2;2;2;2;2;2;2;2;2;2
"210005 ACAILANDIA";6;6;6;6;6;6;6;6;6;6;6;6
"210050 ALTO PARNAIBA";6;6;6;6;6;6;6;6;6;6;6;6
"210055 AMAPA DO MARANHAO";3;3;3;3;3;3;3;3;3;3;3;3
"210060 AMARANTE DO MARANHAO";2;2;2;2;2;2;2;2;2;2;2;2
"210095 ARAME";6;6;6;6;6;6;6;6;6;6;6;6
"210110 AXIXA";6;6;6;6;6;6;6;6;6;6;6;6
"210120 BACABAL";20;20;20;20;20;20;20;20;20;20;20;20
"210125 BACABEIRA";2;2;2;2;2;2;2;2;2;2;2;2
"210140 BALSAS";1;1;1;1;1;1;1;1;1;1;1;1
"210150 BARAO DE GRAJAU";1;1;1;1;1;1;1;1;1;1;1;1
"210160 BARRA DO CORDA";20;20;20;20;20;20;20;20;20;20;20;20
"210180 BENEDITO LEITE";1;1;1;1;1;1;1;1;1;1;1;1
"210232 BURITICUPU";1;1;1;1;1;1;1;1;1;1;1;1
"210260 CANDIDO MENDES";6;6;6;6;6;6;6;6;6;6;6;6
"210300 CAXIAS";11;11;11;11;11;11;11;15;15;15;15;15
"210315 CENTRO DO GUILHERME";6;6;6;6;6;6;6;6;6;6;6;6
"210325 CIDELANDIA";-;1;1;1;1;1;1;1;1;1;1;1
"210340 COELHO NETO";3;3;3;3;-;-;-;-;-;-;-;-
"210350 COLINAS";3;3;3;3;3;3;3;3;3;3;3;3
"210407 FEIRA NOVA DO MARANHAO";5;5;5;5;5;5;5;5;5;5;5;5
"210420 FORTUNA";4;4;4;4;4;4;4;4;4;4;4;4
"210480 GRAJAU";6;6;6;6;6;6;6;6;6;6;6;6
"210530 IMPERATRIZ";7;7;7;7;7;7;7;7;7;7;7;7
"210547 JENIPAPO DOS VIEIRAS";3;3;3;3;3;3;3;3;3;3;3;3
"210550 JOAO LISBOA";3;3;3;3;3;3;3;3;3;3;3;3
"210570 LAGO DA PEDRA";1;1;1;1;1;1;1;1;1;1;1;1
"210610 LORETO";3;3;3;3;3;3;3;3;3;3;3;3
"210637 MARANHAOZINHO";2;2;2;2;2;2;2;2;2;2;2;2
"210690 MONCAO";1;1;1;1;1;1;-;-;-;-;-;-
"210745 OLINDA NOVA DO MARANHAO";1;1;1;1;1;1;1;1;1;1;1;1
"210805 PAULINO NEVES";9;9;9;9;9;9;9;9;9;9;9;9
"210820 PEDREIRAS";2;2;2;2;2;2;2;2;2;2;2;2
"210860 PINHEIRO";3;3;3;3;3;3;3;3;3;3;3;3
"210905 PORTO RICO DO MARANHAO";6;6;6;6;6;6;6;6;6;6;6;6
"210910 PRESIDENTE DUTRA";2;2;2;2;2;2;2;2;2;2;2;2
"210923 PRESIDENTE MEDICI";2;2;2;2;2;2;2;2;2;2;2;2
