CNES - Recursos Físicos - Ambulatório - Leitos de Repouso e Observação - Brasil
Leitos Repouso/Observação Indif por Município e Ano/mês compet.
Período:2024
"Município";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez"
"110002 ARIQUEMES";22;22;22;22;22;22;22;22;24;24;24;24
"110003 CABIXI";2;2;2;2;2;2;2;2;2;2;2;2
"110004 CACOAL";48;48;48;48;48;48;48;48;48;48;48;48
"110005 CEREJEIRAS";4;4;4;4;4;5;5;5;5;5;5;5
"110008 COSTA MARQUES";2;2;2;2;2;2;2;2;2;2;2;2
"110009 ESPIGAO D'OESTE";10;10;10;10;10;10;10;10;10;10;10;10
"110011 JARU";44;44;44;44;44;44;44;44;44;44;44;44
"110012 JI-PARANA";29;29;29;29;29;29;29;29;29;29;29;29
"110013 MACHADINHO D'OESTE";4;4;4;4;4;4;4;4;4;4;4;4
"110015 OURO PRETO DO OESTE";17;17;17;17;17;17;17;17;17;17;17;17
"110018 PIMENTA BUENO";20;20;20;20;20;20;20;20;20;20;20;20
"110020 PORTO VELHO";98;98;98;98;98;98;98;98;98;98;98;98
"110025 PRESIDENTE MEDICI";4;4;4;4;4;4;4;4;4;4;4;4
"110028 ROLIM DE MOURA";13;13;13;13;13;12;12;12;12;12;12;12
"110029 SANTA LUZIA D'OESTE";2;2;2;2;2;2;2;2;2;2;2;2
"110030 VILHENA";23;23;23;23;23;23;23;23;23;23;24;24
"110032 SAO MIGUEL DO GUAPORE";2;2;2;2;2;2;2;2;2;2;2;2
"110034 ALVORADA D'OESTE";7;7;7;7;7;7;7;7;7;7;7;7
"110045 BURITIS";5;5;6;6;6;6;6;6;6;6;6;6
"110050 NOVO HORIZONTE DO OESTE";3;3;3;3;3;3;3;3;3;3;3;3
"110080 CANDEIAS DO JAMARI";1;1;1;1;1;1;1;1;1;1;1;1
"110090 CASTANHEIRAS";4;4;2;2;2;2;2;2;2;2;2;2
"110092 CHUPINGUAIA";2;2;2;2;2;2;2;2;2;-;2;2
