Municipio;2024/Jan;2024/Fev;2024/Mar;2024/Abr;2024/Mai;2024/Jun;2024/Jul;2024/Ago;2024/Set;2024/Out
110002 ARIQUEMES;5;5;5;5;5;5;5;5;5;5
110004 CACOAL;5;5;5;5;5;5;5;5;5;5
110007 CORUMBIARA;-;-;-;-;-;-;-;-;-;4
110008 COSTA MARQUES;2;2;2;2;1;1;1;1;1;1
110015 OURO PRETO DO OESTE;3;3;3;3;3;3;3;3;3;3
110020 PORTO VELHO;28;28;28;28;28;28;28;28;28;28
110028 ROLIM DE MOURA;7;7;7;7;7;7;7;7;7;7
110030 VILHENA;1;1;1;1;1;1;1;1;1;1
110037 ALTO ALEGRE DOS PARECIS;4;4;4;4;4;4;4;4;4;4
110040 ALTO PARAISO;1;1;1;1;1;1;1;1;1;1
110045 BURITIS;3;3;3;3;3;3;3;3;3;3
110050 NOVO HORIZONTE DO OESTE;5;5;5;5;5;5;5;5;5;5
110070 CAMPO NOVO DE RONDONIA;4;4;4;4;4;4;4;4;4;4
110080 CANDEIAS DO JAMARI;5;5;5;5;5;5;5;5;5;5
110092 CHUPINGUAIA;2;2;2;2;2;2;2;2;2;-
110120 MINISTRO ANDREAZZA;2;2;2;2;2;2;2;2;2;2
110130 MIRANTE DA SERRA;1;1;1;1;1;1;1;1;1;1
110143 NOVA UNIAO;1;1;1;1;1;1;1;1;1;1
110145 PARECIS;2;2;2;2;2;2;2;2;2;2
110148 SAO FELIPE D'OESTE;2;2;2;2;2;2;2;2;2;2
110150 SERINGUEIRAS;1;1;1;1;1;1;1;1;1;1
120010 BRASILEIA;6;6;6;6;6;6;6;6;6;6
120033 MANCIO LIMA;3;3;3;3;3;3;3;3;3;3
120040 RIO BRANCO;31;31;31;31;31;31;31;31;31;31
120070 XAPURI;3;3;3;3;3;3;3;3;3;3
130063 BERURI;3;3;3;3;3;3;3;3;3;3
130130 CODAJAS;2;2;2;2;2;2;2;2;2;2
130180 IPIXUNA;3;3;3;3;3;3;3;3;3;3
130185 IRANDUBA;-;-;-;-;-;-;-;1;1;1
130190 ITACOATIARA;6;6;6;6;6;6;6;6;6;6
130230 JUTAI;2;2;2;2;2;2;2;2;2;2
130260 MANAUS;11;11;11;11;11;11;16;16;16;16
130330 NOVO ARIPUANA;1;1;1;1;1;1;1;1;1;1
130350 PAUINI;2;2;2;2;2;2;2;2;2;2
130356 RIO PRETO DA EVA;2;2;2;2;2;2;2;2;2;2
