Municipio;2024/Jan;2024/Fev;2024/Mar;2024/Abr;2024/Mai;2024/Jun;2024/Jul;2024/Ago;2024/Set;2024/Out
110001 ALTA FLORESTA D'OESTE;2;2;2;2;2;2;2;2;2;2
110002 ARIQUEMES;81;81;81;81;81;81;81;81;81;81
110004 CACOAL;80;80;80;80;80;80;80;80;80;80
110005 CEREJEIRAS;2;2;2;2;2;2;2;2;2;2
110009 ESPIGAO D'OESTE;1;1;1;1;1;1;1;1;1;1
110010 GUAJARA-MIRIM;4;4;4;4;4;4;4;4;4;4
110011 JARU;10;10;10;10;10;10;10;10;10;10
110012 JI-PARANA;123;123;123;123;123;123;123;123;123;123
110015 OURO PRETO DO OESTE;38;38;38;38;38;38;38;38;54;54
110018 PIMENTA BUENO;2;2;2;2;2;2;2;2;2;2
110020 PORTO VELHO;420;420;420;420;420;416;416;412;418;420
110028 ROLIM DE MOURA;6;6;6;6;6;6;6;6;6;6
110030 VILHENA;43;43;43;43;43;43;43;43;43;43
110032 SAO MIGUEL DO GUAPORE;2;2;2;2;2;2;2;2;2;2
110033 NOVA MAMORE;2;2;2;2;2;2;2;2;2;2
110037 ALTO ALEGRE DOS PARECIS;2;2;2;2;2;2;2;2;2;2
110045 BURITIS;1;1;1;1;1;1;1;1;1;1
110050 NOVO HORIZONTE DO OESTE;1;1;1;1;1;1;1;1;1;1
110140 MONTE NEGRO;4;4;4;4;4;4;4;4;4;4
110149 SAO FRANCISCO DO GUAPORE;1;1;1;1;1;1;1;1;1;1
120010 BRASILEIA;18;18;18;18;23;23;23;23;23;23
120020 CRUZEIRO DO SUL;29;29;29;29;39;29;29;29;29;29
120040 RIO BRANCO;215;200;168;163;193;193;188;188;188;188
120045 SENADOR GUIOMARD;1;1;1;1;1;1;1;1;1;1
130002 ALVARAES;2;2;2;2;2;2;2;2;2;2
130006 AMATURA;3;3;3;3;3;3;3;3;3;3
130014 APUI;7;7;7;7;7;7;7;7;7;7
130020 ATALAIA DO NORTE;4;3;3;3;3;3;3;3;3;3
130030 AUTAZES;3;3;3;3;3;3;3;3;3;3
130040 BARCELOS;1;1;1;1;1;1;1;1;1;1
130060 BENJAMIN CONSTANT;7;7;7;7;7;7;7;7;7;7
130063 BERURI;5;5;5;5;5;5;5;5;5;5
130080 BORBA;4;4;4;4;4;4;4;4;4;4
130083 CAAPIRANGA;3;3;3;3;3;3;3;3;3;3
130090 CANUTAMA;4;4;4;4;4;4;4;4;4;4
130100 CARAUARI;5;5;5;5;5;5;5;6;6;6
130115 CAREIRO DA VARZEA;1;1;1;1;1;1;1;1;1;1
130120 COARI;3;3;3;3;3;3;3;3;3;3
130160 FONTE BOA;8;8;8;8;8;8;8;8;8;8
130165 GUAJARA;3;3;3;3;3;3;3;3;3;3
130170 HUMAITA;8;8;8;8;8;8;8;8;8;8
130195 ITAMARATI;4;4;4;4;4;4;4;4;4;4
130200 ITAPIRANGA;2;2;2;2;2;2;2;2;2;2
130230 JUTAI;1;1;1;1;1;1;1;1;1;1
130240 LABREA;8;8;8;8;8;8;8;8;8;8
130250 MANACAPURU;18;18;18;18;18;18;18;18;18;18
130260 MANAUS;998;998;1012;1011;1011;1011;1012;997;997;1000
130270 MANICORE;1;1;1;1;1;2;2;2;2;2
130280 MARAA;1;1;1;1;1;1;1;1;1;1
130300 NHAMUNDA;1;1;1;1;1;1;1;1;1;1
130320 NOVO AIRAO;2;2;2;2;2;2;2;2;2;2
130330 NOVO ARIPUANA;1;1;1;1;1;1;1;1;1;1
130340 PARINTINS;41;41;41;34;34;34;30;30;30;30
130350 PAUINI;1;1;1;1;1;1;1;1;1;1
130353 PRESIDENTE FIGUEIREDO;4;4;4;4;4;4;4;7;7;7
130370 SANTO ANTONIO DO ICA;4;4;4;4;4;4;4;4;4;4
130380 SAO GABRIEL DA CACHOEIRA;5;5;5;5;5;5;5;5;5;5
130400 SILVES;2;2;2;2;2;2;2;2;2;2
130406 TABATINGA;24;24;24;24;24;24;24;24;24;25
130410 TAPAUA;2;2;2;2;2;2;2;2;2;2
130420 TEFE;70;24;24;24;24;24;24;24;24;24
130426 UARINI;1;1;1;1;1;1;1;1;1;1
140005 ALTO ALEGRE;1;1;1;1;1;1;1;1;1;1
140010 BOA VISTA;157;161;161;161;161;166;166;166;162;162
140015 BONFIM;1;1;1;1;1;1;1;1;1;1
140030 MUCAJAI;1;1;1;1;1;1;1;1;1;1
140040 NORMANDIA;1;1;1;1;1;1;1;1;1;1
140045 PACARAIMA;1;1;1;1;1;1;1;1;1;1
140047 RORAINOPOLIS;2;2;2;2;2;2;2;3;3;3
150010 ABAETETUBA;46;46;46;46;46;46;46;46;46;46
150013 ABEL FIGUEIREDO;1;1;1;1;1;1;1;1;1;1
150040 ALENQUER;10;10;10;10;10;10;10;10;10;10
150060 ALTAMIRA;53;53;53;53;53;53;53;53;53;49
150070 ANAJAS;1;1;1;1;1;1;1;1;1;1
150080 ANANINDEUA;143;157;157;157;157;157;161;161;161;149
150085 ANAPU;1;1;1;1;1;1;1;1;1;1
150100 AVEIRO;-;-;-;-;-;-;-;-;-;1
150110 BAGRE;1;1;1;1;1;1;1;1;1;1
150120 BAIAO;1;1;1;1;1;1;1;1;1;1
150125 BANNACH;1;1;1;1;1;1;1;1;1;1
150130 BARCARENA;33;33;33;33;33;33;33;33;33;33
150140 BELEM;957;955;978;992;1002;1002;979;1034;1034;1034
150145 BELTERRA;2;2;2;2;2;2;2;2;2;2
150150 BENEVIDES;1;1;1;1;1;1;1;1;1;1
150170 BRAGANCA;51;51;51;51;51;51;51;51;51;51
150172 BRASIL NOVO;8;8;8;8;8;8;8;8;8;8
150175 BREJO GRANDE DO ARAGUAIA;1;1;1;1;1;1;1;1;1;1
150178 BREU BRANCO;1;1;1;1;1;1;1;1;1;1
150180 BREVES;20;20;20;20;20;20;20;20;20;20
150210 CAMETA;3;3;3;3;3;3;3;3;3;3
150215 CANAA DOS CARAJAS;14;14;14;14;14;14;12;12;12;12
150220 CAPANEMA;31;31;31;31;31;31;31;31;32;32
150230 CAPITAO POCO;1;1;1;1;1;1;1;1;1;1
150240 CASTANHAL;101;101;101;101;101;101;101;101;97;97
150270 CONCEICAO DO ARAGUAIA;31;31;31;31;31;31;31;31;31;31
150275 CONCORDIA DO PARA;1;1;1;1;1;1;1;1;1;1
150280 CURRALINHO;1;1;1;1;1;1;1;1;1;1
150290 CURUCA;13;13;13;13;13;13;13;13;13;13
150293 DOM ELISEU;15;15;15;15;15;15;15;15;15;15
150304 FLORESTA DO ARAGUAIA;4;4;4;4;4;4;4;4;1;1
150310 GURUPA;1;1;1;1;1;1;1;1;1;1
150320 IGARAPE-ACU;2;2;2;2;2;2;2;2;2;2
150330 IGARAPE-MIRI;6;6;6;6;6;-;-;-;-;-
150340 INHANGAPI;1;1;1;1;1;1;1;1;1;1
150345 IPIXUNA DO PARA;2;4;4;4;4;4;4;4;4;4
150360 ITAITUBA;72;72;72;72;72;72;72;72;72;72
150375 JACAREACANGA;5;5;5;5;5;5;5;5;5;5
150380 JACUNDA;2;2;2;2;2;2;2;2;2;2
150400 LIMOEIRO DO AJURU;1;1;1;1;1;1;1;1;1;1
150405 MAE DO RIO;1;1;1;1;1;1;1;1;1;1
150420 MARABA;69;69;69;69;69;69;69;69;69;69
150430 MARACANA;3;3;3;3;3;3;3;3;3;3
150440 MARAPANIM;1;1;1;1;1;1;1;1;1;1
150442 MARITUBA;20;20;20;20;20;20;20;20;20;20
150445 MEDICILANDIA;3;3;1;1;1;1;2;2;2;2
150450 MELGACO;1;1;1;1;1;1;1;1;1;1
150460 MOCAJUBA;1;1;1;1;1;1;1;1;1;1
150470 MOJU;2;2;2;2;2;2;2;2;2;2
150480 MONTE ALEGRE;3;3;3;3;3;3;3;3;3;3
150490 MUANA;4;4;4;4;4;4;4;4;4;4
150497 NOVA IPIXUNA;1;1;1;1;1;1;1;1;1;1
150503 NOVO PROGRESSO;1;1;1;1;1;1;1;1;1;1
150506 NOVO REPARTIMENTO;2;2;2;2;2;2;2;2;2;2
150510 OBIDOS;1;1;1;1;-;1;1;1;1;1
150520 OEIRAS DO PARA;1;1;1;1;1;1;1;1;1;1
150530 ORIXIMINA;11;11;11;11;11;11;11;11;11;21
150543 OURILANDIA DO NORTE;31;31;31;31;31;31;31;31;31;31
150548 PACAJA;1;1;1;1;1;1;1;1;1;1
150549 PALESTINA DO PARA;1;1;1;1;1;1;1;1;1;1
150550 PARAGOMINAS;38;38;38;38;38;38;35;35;35;35
150553 PARAUAPEBAS;47;47;47;47;47;47;43;43;43;43
150565 PLACAS;2;2;2;2;2;2;2;2;2;2
150580 PORTEL;1;1;1;4;4;4;4;4;4;4
150590 PORTO DE MOZ;1;1;1;1;1;1;1;1;1;1
150610 PRIMAVERA;1;1;1;1;1;1;1;1;1;1
150613 REDENCAO;60;60;60;60;60;60;60;63;63;63
150616 RIO MARIA;5;5;5;5;5;5;5;5;5;5
150618 RONDON DO PARA;3;3;3;3;3;3;3;3;3;3
150619 RUROPOLIS;17;17;17;17;17;17;17;17;17;17
150620 SALINOPOLIS;2;2;2;2;2;2;2;2;2;2
150630 SALVATERRA;1;1;1;1;1;1;1;1;1;1
150658 SANTA MARIA DAS BARREIRAS;8;8;8;8;8;8;8;8;8;8
150670 SANTANA DO ARAGUAIA;2;2;2;2;2;2;2;2;2;2
150680 SANTAREM;86;86;86;86;86;103;103;103;100;100
150700 SANTO ANTONIO DO TAUA;1;1;1;1;1;1;1;1;1;1
150720 SAO DOMINGOS DO CAPIM;1;1;1;1;1;1;1;1;1;1
150730 SAO FELIX DO XINGU;2;2;2;2;2;2;2;2;2;2
150747 SAO JOAO DE PIRABAS;1;1;1;1;1;1;1;1;1;1
150750 SAO JOAO DO ARAGUAIA;1;1;1;1;1;1;1;1;1;1
150760 SAO MIGUEL DO GUAMA;-;-;-;2;-;-;-;-;-;-
150780 SENADOR JOSE PORFIRIO;1;1;1;1;1;1;1;1;1;1
150790 SOURE;1;1;1;1;1;1;1;1;1;1
150795 TAILANDIA;11;11;11;11;11;11;11;11;11;11
150800 TOME-ACU;8;8;8;8;8;8;8;8;8;8
150803 TRACUATEUA;1;1;1;1;1;1;1;1;1;1
150805 TRAIRAO;5;5;5;5;5;5;5;5;5;5
150810 TUCURUI;68;68;68;68;68;68;68;68;68;68
150812 ULIANOPOLIS;12;12;12;12;12;12;12;12;12;12
150815 URUARA;1;1;1;1;1;1;1;1;1;1
150820 VIGIA;9;9;9;9;9;9;9;9;9;9
150830 VISEU;2;2;2;2;2;2;2;2;2;2
150835 VITORIA DO XINGU;2;2;2;2;2;2;2;2;2;2
150840 XINGUARA;10;10;5;5;5;5;5;5;5;5
160020 CALCOENE;5;5;5;5;5;5;5;5;5;5
160027 LARANJAL DO JARI;8;8;8;8;8;8;8;8;8;8
160030 MACAPA;192;191;191;191;191;191;181;191;214;215
160060 SANTANA;29;29;29;29;29;29;29;29;29;29
170070 ALVORADA;2;2;2;2;2;2;2;2;2;2
170200 ARAGUACU;2;2;2;2;2;2;2;2;2;2
170210 ARAGUAINA;153;153;153;153;153;153;153;153;153;153
170230 ARAPOEMA;1;1;1;1;1;1;1;1;1;1
170240 ARRAIAS;8;8;8;8;8;8;8;8;8;8
170255 AUGUSTINOPOLIS;28;28;28;28;28;28;28;30;30;30
170550 COLINAS DO TOCANTINS;4;4;4;4;4;4;4;4;4;4
170610 CRISTALANDIA;1;1;1;1;1;1;1;1;1;1
170700 DIANOPOLIS;-;1;1;1;1;1;1;1;1;1
170820 FORMOSO DO ARAGUAIA;2;2;2;2;2;2;2;2;2;2
170930 GUARAI;4;4;4;4;4;4;4;4;4;4
170950 GURUPI;61;61;61;61;61;61;61;61;61;61
171050 ITACAJA;1;1;1;1;1;1;1;1;1;1
171320 MIRACEMA DO TOCANTINS;1;1;1;1;1;1;2;2;2;2
171610 PARAISO DO TOCANTINS;27;27;27;24;24;24;24;24;24;24
171620 PARANA;1;1;1;1;1;1;1;1;1;1
171650 PEDRO AFONSO;1;1;1;1;1;1;1;1;1;1
171660 PEIXE;2;2;2;2;2;2;2;2;2;2
171820 PORTO NACIONAL;18;18;18;18;18;18;18;18;18;18
172090 TAGUATINGA;3;3;3;3;3;3;3;3;3;3
172100 PALMAS;300;300;300;300;300;297;297;297;297;297
172120 TOCANTINOPOLIS;2;2;2;2;2;2;2;2;2;2
210005 ACAILANDIA;13;13;13;13;13;13;13;13;13;13
210043 ALTO ALEGRE DO MARANHAO;16;16;16;16;16;16;16;16;16;16
210047 ALTO ALEGRE DO PINDARE;7;7;7;7;7;7;7;7;7;7
210080 ANAPURUS;10;10;10;10;10;10;10;10;10;10
210083 APICUM-ACU;1;1;1;1;1;1;1;1;1;1
210090 ARAIOSES;2;2;2;2;2;2;2;2;2;2
210120 BACABAL;48;48;48;48;48;48;48;48;48;48
210140 BALSAS;21;21;21;21;21;21;21;21;21;21
210160 BARRA DO CORDA;39;39;39;39;39;39;39;39;39;39
210170 BARREIRINHAS;20;20;20;20;20;20;20;20;20;20
210177 BELA VISTA DO MARANHAO;2;2;2;2;2;2;2;2;2;2
210197 BOA VISTA DO GURUPI;1;1;1;1;1;1;1;1;1;1
210232 BURITICUPU;12;12;12;12;12;12;12;12;12;12
210235 BURITIRANA;2;2;2;2;2;2;2;2;2;2
210250 CAJARI;2;2;2;2;2;2;2;2;2;2
210280 CAROLINA;3;3;3;3;3;3;3;3;3;3
210290 CARUTAPERA;1;1;1;1;1;1;1;1;1;1
210300 CAXIAS;76;76;76;76;76;76;76;76;76;76
210320 CHAPADINHA;17;17;17;17;17;17;17;17;17;17
210330 CODO;25;25;25;25;25;25;25;25;25;25
210340 COELHO NETO;5;5;5;5;5;5;5;5;5;5
210350 COLINAS;20;20;20;10;10;10;10;10;10;10
210360 COROATA;35;35;35;35;35;35;35;35;35;35
210405 ESTREITO;3;3;3;3;3;3;3;3;3;3
210410 FORTALEZA DOS NOGUEIRAS;1;1;1;1;1;1;1;1;1;1
210420 FORTUNA;2;2;2;2;2;2;2;2;2;2
210467 GOVERNADOR NUNES FREIRE;2;2;2;2;2;2;2;2;2;2
210480 GRAJAU;29;29;29;29;29;29;29;29;29;29
210530 IMPERATRIZ;233;233;233;233;233;233;233;233;233;233
210540 ITAPECURU MIRIM;4;4;4;4;4;4;4;4;4;4
210550 JOAO LISBOA;2;2;2;2;2;2;2;2;2;2
210565 JUNCO DO MARANHAO;1;1;1;1;1;1;1;1;1;1
210570 LAGO DA PEDRA;10;10;10;10;10;10;10;10;10;10
210594 LAGO DOS RODRIGUES;2;2;2;2;2;2;2;2;2;2
210610 LORETO;2;2;2;2;2;2;2;2;2;2
210620 LUIS DOMINGUES;3;3;3;3;3;3;3;3;3;3
210630 MAGALHAES DE ALMEIDA;1;1;1;1;1;1;1;1;1;1
210690 MONCAO;8;8;8;8;8;8;8;8;8;8
210700 MONTES ALTOS;2;2;2;2;2;2;2;2;2;2
210710 MORROS;1;1;1;1;1;1;1;1;1;1
210725 NOVA COLINAS;1;1;1;1;1;1;1;1;1;1
210730 NOVA IORQUE;1;1;1;1;1;1;1;1;1;1
210735 NOVA OLINDA DO MARANHAO;4;4;4;4;4;4;4;4;4;4
210760 PALMEIRANDIA;1;1;1;1;1;1;1;1;1;1
210805 PAULINO NEVES;1;1;1;1;1;1;1;1;1;1
210820 PEDREIRAS;10;10;10;10;10;10;10;10;10;10
210830 PENALVA;3;3;3;3;3;3;3;3;3;3
210840 PERI MIRIM;3;3;3;3;3;3;3;3;3;3
210845 PERITORO;2;2;2;2;2;2;2;2;2;2
210850 PINDARE-MIRIM;1;1;1;1;1;1;1;1;1;1
210860 PINHEIRO;45;45;45;45;45;45;45;39;39;39
210880 PIRAPEMAS;1;1;1;1;1;1;1;1;1;1
210890 POCAO DE PEDRAS;10;10;10;10;10;10;10;10;10;10
210900 PORTO FRANCO;12;12;12;12;12;12;12;12;12;12
210910 PRESIDENTE DUTRA;21;21;21;21;21;21;21;21;21;21
210927 PRESIDENTE SARNEY;1;1;1;1;1;1;1;1;1;1
210940 PRIMEIRA CRUZ;1;1;1;1;1;1;1;1;1;1
210970 SAMBAIBA;2;2;2;2;2;2;2;2;2;2
210980 SANTA HELENA;4;4;4;4;4;4;4;4;4;4
210990 SANTA INES;35;35;35;35;35;35;35;35;35;35
211000 SANTA LUZIA;5;5;5;5;5;5;5;5;5;5
211003 SANTA LUZIA DO PARUA;10;10;10;10;10;10;10;10;10;10
211010 SANTA QUITERIA DO MARANHAO;2;2;2;2;2;2;2;2;2;2
211023 SANTANA DO MARANHAO;1;1;1;1;1;1;1;1;1;1
211050 SAO BENTO;1;1;1;1;1;1;1;1;1;1
211060 SAO BERNARDO;1;1;1;1;1;1;1;1;1;1
211105 SAO JOAO DO PARAISO;1;1;1;1;1;1;1;1;1;1
211120 SAO JOSE DE RIBAMAR;1;1;1;1;1;1;1;1;1;1
211130 SAO LUIS;957;957;957;956;956;954;954;954;954;941
211150 SAO MATEUS DO MARANHAO;4;4;4;4;4;4;4;4;4;4
211170 SAO VICENTE FERRER;4;4;4;4;4;4;4;4;4;4
211178 SERRANO DO MARANHAO;1;1;1;1;1;1;1;1;1;1
211180 SITIO NOVO;2;2;2;2;2;2;2;2;2;2
211210 TIMBIRAS;8;8;8;8;8;8;8;8;8;8
211220 TIMON;26;26;26;26;26;26;26;26;26;26
211230 TUNTUM;1;1;1;1;1;1;1;1;1;1
211270 VARGEM GRANDE;6;6;6;6;6;6;6;6;6;6
211280 VIANA;7;7;7;7;7;7;7;7;7;7
211285 VILA NOVA DOS MARTIRIOS;2;2;4;4;4;4;4;4;4;4
211400 ZE DOCA;2;2;2;2;2;2;2;2;2;2
220020 AGUA BRANCA;2;2;2;2;2;2;2;2;2;2
220030 ALTO LONGA;1;1;1;1;1;1;1;1;1;1
220040 ALTOS;1;1;1;1;1;1;1;1;1;1
220120 BARRAS;1;1;1;1;1;1;1;1;1;1
220190 BOM JESUS;9;9;9;9;9;9;9;9;9;9
220220 CAMPO MAIOR;10;10;10;10;10;10;10;10;10;10
220270 COCAL;1;1;1;1;1;1;1;1;1;1
220370 ESPERANTINA;3;3;3;3;3;3;3;3;3;3
220390 FLORIANO;30;30;30;30;30;30;30;30;30;30
220430 FRONTEIRAS;1;1;1;1;1;1;1;1;1;1
220620 MIGUEL ALVES;2;2;2;2;2;2;2;2;2;2
220700 OEIRAS;12;12;12;12;12;12;12;12;12;12
220770 PARNAIBA;65;65;65;65;65;75;75;75;75;75
220780 PAULISTANA;3;3;3;3;3;3;3;3;3;3
220790 PEDRO II;1;1;1;1;1;1;1;1;1;1
220800 PICOS;93;93;93;93;93;93;93;93;93;93
220840 PIRIPIRI;35;35;35;35;35;35;35;35;35;35
221000 SAO JOAO DO PIAUI;1;1;1;1;1;1;1;1;1;1
221050 SAO PEDRO DO PIAUI;1;1;1;1;1;1;1;1;1;1
221060 SAO RAIMUNDO NONATO;17;17;17;17;17;17;17;17;17;17
221100 TERESINA;467;467;467;467;471;471;476;476;459;459
221110 UNIAO;1;1;1;1;1;1;1;1;1;1
221120 URUCUI;-;-;-;-;-;1;1;1;1;1
230020 ACARAU;2;2;2;12;12;12;12;12;12;12
230040 AIUABA;1;1;1;1;1;1;1;1;1;1
230070 ALTO SANTO;2;2;2;2;2;2;2;2;2;2
230110 ARACATI;13;13;13;11;11;11;11;11;8;8
230120 ARACOIABA;10;10;10;10;10;10;10;10;10;10
230130 ARARIPE;2;2;2;2;2;2;2;2;2;2
230150 ARNEIROZ;1;1;1;1;1;1;1;1;1;1
230160 ASSARE;4;4;4;4;4;4;4;4;4;4
230170 AURORA;10;10;10;10;10;10;10;10;10;10
230190 BARBALHA;119;119;119;119;119;119;119;119;119;119
230210 BATURITE;3;3;3;3;3;3;3;3;3;3
230250 BREJO SANTO;27;27;27;27;27;27;27;29;29;29
230280 CANINDE;10;10;10;10;10;10;10;10;10;10
230320 CARIRIACU;3;3;3;3;3;3;3;3;3;3
230330 CARIUS;10;10;10;10;10;10;10;10;10;10
230350 CASCAVEL;5;5;5;5;5;5;5;5;5;5
230360 CATARINA;2;2;2;2;2;2;2;2;2;2
230370 CAUCAIA;32;32;32;32;32;32;32;32;32;32
230390 CHAVAL;2;2;2;2;2;2;2;2;2;2
230410 CRATEUS;44;44;44;44;44;44;44;42;44;44
230420 CRATO;86;86;86;86;86;86;86;86;86;86
230428 EUSEBIO;19;19;12;12;12;12;12;12;12;12
230430 FARIAS BRITO;5;5;5;5;3;3;3;3;3;3
230440 FORTALEZA;1427;1427;1427;1457;1466;1456;1456;1447;1467;1467
230530 IBIAPINA;1;1;1;1;1;1;1;1;1;1
230550 IGUATU;47;47;47;47;47;47;47;47;47;47
230560 INDEPENDENCIA;9;9;9;9;9;9;9;9;9;9
230600 IRACEMA;4;4;4;4;4;4;4;4;4;4
230625 ITAITINGA;2;2;2;2;2;2;2;2;2;2
230640 ITAPIPOCA;40;40;40;40;40;40;40;40;40;40
230655 ITAREMA;4;4;4;4;4;4;4;4;4;4
230680 JAGUARIBARA;1;1;1;1;1;1;1;1;1;1
230690 JAGUARIBE;6;6;6;6;6;6;6;6;6;6
230710 JARDIM;1;1;1;1;4;4;4;4;4;4
230725 JIJOCA DE JERICOACOARA;2;2;2;2;2;2;2;2;2;2
230730 JUAZEIRO DO NORTE;93;95;95;93;93;93;93;93;93;93
230750 LAVRAS DA MANGABEIRA;2;2;2;2;2;2;2;2;2;2
230760 LIMOEIRO DO NORTE;30;30;30;30;30;30;30;40;40;40
230765 MARACANAU;24;24;24;24;24;24;24;24;24;24
230780 MARCO;1;1;1;1;1;1;1;1;1;1
230840 MISSAO VELHA;4;4;4;4;4;4;4;4;4;4
230850 MOMBACA;7;7;7;7;7;7;7;7;7;7
230940 NOVO ORIENTE;10;10;10;10;10;10;10;10;10;3
230945 OCARA;5;5;5;5;5;5;5;5;5;5
230960 PACAJUS;2;2;2;2;2;2;2;2;2;2
