Municipio;2024/Jan;2024/Fev;2024/Mar;2024/Abr;2024/Mai;2024/Jun;2024/Jul;2024/Ago;2024/Set;2024/Out
110001 ALTA FLORESTA D'OESTE;1;1;1;1;1;1;1;1;1;1
110002 ARIQUEMES;4;4;4;4;4;4;4;4;4;4
110003 CABIXI;1;1;1;1;1;1;1;1;1;1
110004 CACOAL;22;22;22;22;22;22;21;21;21;21
110006 COLORADO DO OESTE;-;-;-;-;-;2;2;2;2;2
110009 ESPIGAO D'OESTE;1;1;1;1;1;1;1;1;1;1
110010 GUAJARA-MIRIM;2;2;2;2;2;2;2;2;2;3
110011 JARU;1;1;1;1;1;1;1;1;1;1
110012 JI-PARANA;17;17;17;17;17;17;17;17;17;17
110013 MACHADINHO D'OESTE;1;1;1;1;1;1;1;1;1;1
110014 NOVA BRASILANDIA D'OESTE;2;2;2;2;2;2;2;2;2;2
110015 OURO PRETO DO OESTE;15;15;15;15;15;15;15;15;15;15
110018 PIMENTA BUENO;2;2;2;2;2;2;2;2;2;2
110020 PORTO VELHO;34;35;34;35;38;42;46;44;44;44
110025 PRESIDENTE MEDICI;1;1;1;1;1;1;1;1;1;1
110026 RIO CRESPO;2;2;2;2;2;2;2;2;2;2
110029 SANTA LUZIA D'OESTE;1;1;1;1;1;1;1;1;1;1
110030 VILHENA;4;4;4;4;4;4;4;4;4;4
110032 SAO MIGUEL DO GUAPORE;3;3;3;3;3;3;3;3;3;3
110037 ALTO ALEGRE DOS PARECIS;2;2;2;2;2;2;2;2;2;2
110040 ALTO PARAISO;3;3;3;3;3;3;3;3;3;3
110045 BURITIS;4;4;4;4;4;4;4;4;4;4
110050 NOVO HORIZONTE DO OESTE;1;1;1;1;1;1;1;1;1;1
110060 CACAULANDIA;1;1;1;1;1;1;1;1;1;1
110090 CASTANHEIRAS;1;1;1;1;1;1;1;1;1;1
110092 CHUPINGUAIA;2;2;2;2;2;2;2;2;2;-
110120 MINISTRO ANDREAZZA;1;1;1;1;1;1;1;1;1;1
110130 MIRANTE DA SERRA;2;2;2;2;2;2;2;2;2;2
110140 MONTE NEGRO;1;1;1;1;1;1;1;1;1;1
110143 NOVA UNIAO;4;4;4;4;4;4;4;4;4;4
110150 SERINGUEIRAS;1;1;1;1;1;1;1;1;1;1
