CNES - Recursos Físicos - Ambulatório - Consultórios - Brasil
Clínica Básica por Município
Período:Jul/2024
"Município";"Clínica_Básica"
"110001 ALTA FLORESTA D'OESTE";39
"110002 ARIQUEMES";85
"110003 CABIXI";8
"110004 CACOAL";243
"110005 CEREJEIRAS";12
"110006 COLORADO DO OESTE";6
"110007 CORUMBIARA";10
"110008 COSTA MARQUES";5
"110009 ESPIGAO D'OESTE";21
"110010 GUAJARA-MIRIM";25
"110011 JARU";47
"110012 JI-PARANA";373
"110013 MACHADINHO D'OESTE";16
"110014 NOVA BRASILANDIA D'OESTE";20
"110015 OURO PRETO DO OESTE";47
"110018 PIMENTA BUENO";42
"110020 PORTO VELHO";703
"110025 PRESIDENTE MEDICI";16
"110026 RIO CRESPO";3
"110028 ROLIM DE MOURA";84
"110029 SANTA LUZIA D'OESTE";1
"110030 VILHENA";122
"110032 SAO MIGUEL DO GUAPORE";54
"110033 NOVA MAMORE";13
"110034 ALVORADA D'OESTE";8
"110037 ALTO ALEGRE DOS PARECIS";9
"110040 ALTO PARAISO";1
"110045 BURITIS";20
"110050 NOVO HORIZONTE DO OESTE";5
"110060 CACAULANDIA";4
"110070 CAMPO NOVO DE RONDONIA";11
"110080 CANDEIAS DO JAMARI";8
"110090 CASTANHEIRAS";6
"110092 CHUPINGUAIA";17
"110094 CUJUBIM";11
"110100 GOVERNADOR JORGE TEIXEIRA";9
"110110 ITAPUA DO OESTE";7
"110120 MINISTRO ANDREAZZA";4
"110130 MIRANTE DA SERRA";7
"110140 MONTE NEGRO";37
"110143 NOVA UNIAO";4
"110145 PARECIS";5
"110146 PIMENTEIRAS DO OESTE";3
"110147 PRIMAVERA DE RONDONIA";1
"110148 SAO FELIPE D'OESTE";3
"110149 SAO FRANCISCO DO GUAPORE";12
"110150 SERINGUEIRAS";11
"110155 TEIXEIROPOLIS";5
"110160 THEOBROMA";7
"110170 URUPA";4
"110175 VALE DO ANARI";5
"110180 VALE DO PARAISO";1
"120001 ACRELANDIA";11
"120005 ASSIS BRASIL";5
"120010 BRASILEIA";17
"120013 BUJARI";8
"120017 CAPIXABA";7
"120020 CRUZEIRO DO SUL";109
"120025 EPITACIOLANDIA";9
"120030 FEIJO";8
"120032 JORDAO";4
"120033 MANCIO LIMA";10
"120034 MANOEL URBANO";6
"120035 MARECHAL THAUMATURGO";2
"120038 PLACIDO DE CASTRO";12
"120039 PORTO WALTER";6
"120040 RIO BRANCO";792
"120042 RODRIGUES ALVES";16
"120043 SANTA ROSA DO PURUS";7
"120045 SENADOR GUIOMARD";13
"120050 SENA MADUREIRA";21
"120060 TARAUACA";27
"120070 XAPURI";9
"120080 PORTO ACRE";3
"130002 ALVARAES";6
"130006 AMATURA";11
"130008 ANAMA";9
"130010 ANORI";21
"130014 APUI";16
"130020 ATALAIA DO NORTE";26
"130030 AUTAZES";21
"130040 BARCELOS";31
"130050 BARREIRINHA";15
"130060 BENJAMIN CONSTANT";14
"130063 BERURI";5
"130068 BOA VISTA DO RAMOS";8
"130070 BOCA DO ACRE";10
"130080 BORBA";14
"130083 CAAPIRANGA";4
"130090 CANUTAMA";6
"130100 CARAUARI";17
"130110 CAREIRO";11
"130115 CAREIRO DA VARZEA";18
"130120 COARI";21
"130130 CODAJAS";15
"130140 EIRUNEPE";17
"130150 ENVIRA";11
"130160 FONTE BOA";7
"130165 GUAJARA";8
"130170 HUMAITA";76
"130180 IPIXUNA";4
"130185 IRANDUBA";32
"130190 ITACOATIARA";57
"130195 ITAMARATI";4
"130200 ITAPIRANGA";6
"130210 JAPURA";4
"130220 JURUA";5
"130230 JUTAI";4
"130240 LABREA";62
"130250 MANACAPURU";48
"130255 MANAQUIRI";6
"130260 MANAUS";991
"130270 MANICORE";25
"130280 MARAA";8
"130290 MAUES";18
"130300 NHAMUNDA";2
"130310 NOVA OLINDA DO NORTE";15
