CNES - Recursos Físicos - Ambulatório - Consultórios - Brasil
Clin.Especializada por Município
Período:Jul/2024
"Município";"Clin.Especializada"
"110001 ALTA FLORESTA D'OESTE";7
"110002 ARIQUEMES";106
"110004 CACOAL";165
"110005 CEREJEIRAS";10
"110006 COLORADO DO OESTE";4
"110007 CORUMBIARA";1
"110008 COSTA MARQUES";4
"110009 ESPIGAO D'OESTE";3
"110010 GUAJARA-MIRIM";7
"110011 JARU";38
"110012 JI-PARANA";114
"110013 MACHADINHO D'OESTE";3
"110014 NOVA BRASILANDIA D'OESTE";7
"110015 OURO PRETO DO OESTE";91
"110018 PIMENTA BUENO";16
"110020 PORTO VELHO";699
"110025 PRESIDENTE MEDICI";11
"110026 RIO CRESPO";1
"110028 ROLIM DE MOURA";17
"110030 VILHENA";193
"110032 SAO MIGUEL DO GUAPORE";14
"110033 NOVA MAMORE";5
"110034 ALVORADA D'OESTE";5
"110037 ALTO ALEGRE DOS PARECIS";2
"110040 ALTO PARAISO";2
"110045 BURITIS";6
"110080 CANDEIAS DO JAMARI";6
"110090 CASTANHEIRAS";3
"110094 CUJUBIM";4
"110110 ITAPUA DO OESTE";2
"110120 MINISTRO ANDREAZZA";1
"110140 MONTE NEGRO";9
"110143 NOVA UNIAO";1
"110145 PARECIS";4
"110146 PIMENTEIRAS DO OESTE";1
"110148 SAO FELIPE D'OESTE";3
"110149 SAO FRANCISCO DO GUAPORE";10
"110150 SERINGUEIRAS";10
"110160 THEOBROMA";2
"110175 VALE DO ANARI";3
"120010 BRASILEIA";12
"120020 CRUZEIRO DO SUL";27
"120030 FEIJO";2
"120034 MANOEL URBANO";1
"120039 PORTO WALTER";1
"120040 RIO BRANCO";341
"120042 RODRIGUES ALVES";1
"120045 SENADOR GUIOMARD";5
"120050 SENA MADUREIRA";1
"120060 TARAUACA";8
"120070 XAPURI";4
"130002 ALVARAES";1
"130006 AMATURA";2
"130008 ANAMA";1
"130014 APUI";3
"130040 BARCELOS";2
"130060 BENJAMIN CONSTANT";4
"130063 BERURI";3
"130070 BOCA DO ACRE";16
"130100 CARAUARI";4
"130110 CAREIRO";3
"130115 CAREIRO DA VARZEA";1
"130120 COARI";14
"130130 CODAJAS";4
