CNES - Recursos Físicos - Urgência - Leitos de Repouso / Observação - Brasil
Leitos Repouso/Observação Indif por Município
Período:Jul/2024
"Município";"Leitos_Repouso/Observação_Indif"
"110001 ALTA FLORESTA D'OESTE";4
"110002 ARIQUEMES";16
"110003 CABIXI";3
"110004 CACOAL";28
"110005 CEREJEIRAS";4
"110006 COLORADO DO OESTE";3
"110008 COSTA MARQUES";2
"110009 ESPIGAO D'OESTE";6
"110010 GUAJARA-MIRIM";6
"110011 JARU";3
"110012 JI-PARANA";31
"110015 OURO PRETO DO OESTE";6
"110018 PIMENTA BUENO";16
"110020 PORTO VELHO";143
"110025 PRESIDENTE MEDICI";8
"110028 ROLIM DE MOURA";6
"110030 VILHENA";35
"110033 NOVA MAMORE";6
"110034 ALVORADA D'OESTE";4
"110037 ALTO ALEGRE DOS PARECIS";5
"110045 BURITIS";14
"110050 NOVO HORIZONTE DO OESTE";1
"110060 CACAULANDIA";3
"110094 CUJUBIM";8
"110100 GOVERNADOR JORGE TEIXEIRA";1
"110120 MINISTRO ANDREAZZA";2
"110130 MIRANTE DA SERRA";2
"110140 MONTE NEGRO";1
"110145 PARECIS";2
"110150 SERINGUEIRAS";2
"110155 TEIXEIROPOLIS";1
"110170 URUPA";2
"110180 VALE DO PARAISO";5
"120001 ACRELANDIA";2
"120010 BRASILEIA";1
"120020 CRUZEIRO DO SUL";13
"120030 FEIJO";5
"120034 MANOEL URBANO";5
"120038 PLACIDO DE CASTRO";2
"120040 RIO BRANCO";56
"120045 SENADOR GUIOMARD";6
"120050 SENA MADUREIRA";26
"120060 TARAUACA";2
"120070 XAPURI";2
"130008 ANAMA";3
"130020 ATALAIA DO NORTE";3
"130030 AUTAZES";8
"130063 BERURI";1
"130068 BOA VISTA DO RAMOS";3
"130070 BOCA DO ACRE";2
"130083 CAAPIRANGA";1
"130110 CAREIRO";3
"130115 CAREIRO DA VARZEA";1
"130120 COARI";10
"130130 CODAJAS";1
"130150 ENVIRA";1
"130170 HUMAITA";1
"130180 IPIXUNA";3
"130185 IRANDUBA";2
"130190 ITACOATIARA";14
"130195 ITAMARATI";5
"130200 ITAPIRANGA";2
"130210 JAPURA";4
"130220 JURUA";2
"130230 JUTAI";2
"130240 LABREA";2
"130260 MANAUS";263
"130270 MANICORE";11
"130290 MAUES";8
"130300 NHAMUNDA";9
"130320 NOVO AIRAO";5
"130330 NOVO ARIPUANA";2
"130340 PARINTINS";20
"130350 PAUINI";2
"130356 RIO PRETO DA EVA";6
"130360 SANTA ISABEL DO RIO NEGRO";8
"130370 SANTO ANTONIO DO ICA";6
"130380 SAO GABRIEL DA CACHOEIRA";10
"130395 SAO SEBASTIAO DO UATUMA";1
"130406 TABATINGA";2
"130410 TAPAUA";6
"130420 TEFE";1
"130423 TONANTINS";1
"130426 UARINI";3
"130440 URUCURITUBA";7
"140002 AMAJARI";1
"140005 ALTO ALEGRE";5
"140010 BOA VISTA";31
"140017 CANTA";1
"140020 CARACARAI";1
"140028 IRACEMA";1
"140030 MUCAJAI";1
"140040 NORMANDIA";1
"140045 PACARAIMA";1
"140047 RORAINOPOLIS";2
"140060 SAO LUIZ";1
"150010 ABAETETUBA";10
"150013 ABEL FIGUEIREDO";1
"150034 AGUA AZUL DO NORTE";1
"150040 ALENQUER";6
"150050 ALMEIRIM";8
"150060 ALTAMIRA";20
"150070 ANAJAS";5
"150080 ANANINDEUA";60
"150085 ANAPU";2
"150090 AUGUSTO CORREA";5
"150100 AVEIRO";2
"150110 BAGRE";1
"150120 BAIAO";7
"150125 BANNACH";2
"150130 BARCARENA";37
"150140 BELEM";153
"150150 BENEVIDES";1
"150170 BRAGANCA";27
"150172 BRASIL NOVO";7
"150175 BREJO GRANDE DO ARAGUAIA";2
"150178 BREU BRANCO";2
"150180 BREVES";13
"150190 BUJARU";12
"150195 CACHOEIRA DO PIRIA";4
"150210 CAMETA";4
"150215 CANAA DOS CARAJAS";11
"150220 CAPANEMA";22
"150240 CASTANHAL";37
"150270 CONCEICAO DO ARAGUAIA";4
"150277 CURIONOPOLIS";3
"150280 CURRALINHO";1
"150293 DOM ELISEU";6
"150295 ELDORADO DOS CARAJAS";4
"150304 FLORESTA DO ARAGUAIA";1
"150309 GOIANESIA DO PARA";4
"150310 GURUPA";1
"150320 IGARAPE-ACU";1
"150330 IGARAPE-MIRI";10
"150345 IPIXUNA DO PARA";11
"150350 IRITUIA";3
"150360 ITAITUBA";8
"150370 ITUPIRANGA";15
"150375 JACAREACANGA";4
"150390 JURUTI";9
"150400 LIMOEIRO DO AJURU";1
"150410 MAGALHAES BARATA";1
"150420 MARABA";32
"150430 MARACANA";2
"150440 MARAPANIM";1
"150442 MARITUBA";5
"150450 MELGACO";4
"150460 MOCAJUBA";1
"150470 MOJU";1
"150480 MONTE ALEGRE";4
"150490 MUANA";1
"150497 NOVA IPIXUNA";2
"150503 NOVO PROGRESSO";4
"150506 NOVO REPARTIMENTO";9
