Unidades da Federação,Municípios,"Número de unidades
locais",Pessoal ocupado Total,Pessoal ocupado assalariado,Pessoal assalariado médio,"Salários
e outras
remunerações
(1 000 R$)","Salário médio
 mensal 
(salários mínimos)  (1) (2) ","Salário médio
 mensal 
(R$) (2)",Número de empresas atuantes
Rondônia,Alta Floresta D'Oeste - RO,521,   2 913,   2 356,   2 603,   68 629,1.8,   2 028.08,514
Rondônia,Ariquemes - RO,   2 879,   20 851,   17 176,   16 651,   488 764,2.1,   2 258.00,   2 778
Rondônia,Cabixi - RO,57,548,492,500,   14 172,2,   2 181.42,56
Rondônia,Cacoal - RO,   2 817,   20 913,   17 117,   16 999,   473 251,1.9,   2 141.50,   2 713
Rondônia,Cerejeiras - RO,513,   2 881,   2 248,   2 222,   65 510,2.1,   2 268.26,499
Rondônia,Colorado do Oeste - RO,352,   2 591,   2 223,   2 189,   56 121,1.8,   1 972.00,347
Rondônia,Corumbiara - RO,132,976,830,836,   26 333,2.2,   2 424.09,129
Rondônia,Costa Marques - RO,208,   1 082,894,878,   21 029,1.7,   1 842.83,206
Rondônia,Espigão D'Oeste - RO,790,   5 746,   4 727,   4 758,   122 733,1.8,   1 984.27,775
Rondônia,Guajará-Mirim - RO,727,   4 577,   3 867,   3 808,   110 010,2,   2 222.02,710
Rondônia,Jaru - RO,   1 264,   11 408,   9 849,   9 856,   273 636,1.9,   2 135.57,   1 210
Rondônia,Ji-Paraná - RO,   4 271,   32 785,   27 456,   27 722,   765 200,1.9,   2 123.27,   4 048
Rondônia,Machadinho D'Oeste - RO,671,   3 960,   3 265,   3 163,   84 833,1.9,   2 062.91,656
Rondônia,Nova Brasilândia D'Oeste - RO,375,   2 241,   1 737,   1 683,   48 227,2,   2 204.84,367
Rondônia,Ouro Preto do Oeste - RO,865,   6 671,   5 657,   5 546,   148 037,1.9,   2 053.30,842
Rondônia,Pimenta Bueno - RO,   1 202,   10 869,   9 384,   9 424,   250 332,1.9,   2 043.35,   1 173
Rondônia,Porto Velho - RO,   11 663,   169 540,   156 539,   154 107,  7 089 991,3.2,   3 538.99,   10 839
Rondônia,Presidente Médici - RO,455,   2 715,   2 377,   2 375,   58 891,1.7,   1 907.19,443
Rondônia,Rio Crespo - RO,57,530,473,464,   13 016,2,   2 155.57,57
Rondônia,Rolim de Moura - RO,   1 474,   13 323,   11 400,   11 462,   292 392,1.8,   1 962.32,   1 432
Rondônia,Santa Luzia D'Oeste - RO,114,817,702,727,   17 285,1.7,   1 830.06,112
Rondônia,Vilhena - RO,   3 609,   26 107,   21 816,   21 658,   665 262,2.1,   2 362.82,   3 466
Rondônia,São Miguel do Guaporé - RO,398,   3 734,   3 293,   3 168,   88 274,1.9,   2 143.53,386
Rondônia,Nova Mamoré - RO,366,   2 281,   1 869,   1 859,   48 229,1.8,   1 995.44,351
Rondônia,Alvorada D'Oeste - RO,268,   1 620,   1 308,   1 280,   30 186,1.6,   1 814.56,262
Rondônia,Alto Alegre dos Parecis - RO,170,   1 158,955,941,   27 838,2.1,   2 275.74,170
Rondônia,Alto Paraíso - RO,266,   1 601,   1 302,   1 266,   37 092,2,   2 254.10,265
Rondônia,Buritis - RO,595,   4 019,   3 297,   3 241,   96 626,2.1,   2 293.67,581
Rondônia,Novo Horizonte do Oeste - RO,131,903,766,752,   20 294,1.9,   2 076.95,127
Rondônia,Cacaulândia - RO,58,499,445,437,   13 069,2.1,   2 300.57,56
Rondônia,Campo Novo de Rondônia - RO,126,867,725,763,   25 427,2.3,   2 563.41,125
