Sigla,Código,Município,2010
AC,1200013,Acrelândia,0.604
AC,1200054,Assis Brasil,0.588
AC,1200104,Brasiléia,0.614
AC,1200138,Bujari,0.589
AC,1200179,Capixaba,0.575
AC,1200203,Cruzeiro do Sul,0.664
AC,1200252,Epitaciolândia,0.653
AC,1200302,Feijó,0.539
AC,1200328,Jordão,0.469
AC,1200336,Mâncio Lima,0.625
AC,1200344,Manoel Urbano,0.551
AC,1200351,Marechal Thaumaturgo,0.501
AC,1200385,Plácido de Castro,0.622
AC,1200393,Porto Walter,0.532
AC,1200401,Rio Branco,0.727
AC,1200427,Rodrigues Alves,0.567
AC,1200435,Santa Rosa do Purus,0.517
AC,1200450,Senador Guiomard,0.64
AC,1200500,Sena Madureira,0.603
AC,1200609,Tarauacá,0.539
AC,1200708,Xapuri,0.599
AC,1200807,Porto Acre,0.576
AL,2700102,Água Branca,0.549
AL,2700201,Anadia,0.568
AL,2700300,Arapiraca,0.649
AL,2700409,Atalaia,0.561
AL,2700508,Barra de Santo Antônio,0.557
AL,2700607,Barra de São Miguel,0.615
AL,2700706,Batalha,0.594
AL,2700805,Belém,0.593
AL,2700904,Belo Monte,0.517
AL,2701001,Boca da Mata,0.604
AL,2701100,Branquinha,0.513
AL,2701209,Cacimbinhas,0.531
AL,2701308,Cajueiro,0.562
AL,2701357,Campestre,0.559
AL,2701407,Campo Alegre,0.57
AL,2701506,Campo Grande,0.524
AL,2701605,Canapi,0.506
AL,2701704,Capela,0.573
AL,2701803,Carneiros,0.526
AL,2701902,Chã Preta,0.575
AL,2702009,Coité do Nóia,0.533
AL,2702108,Colônia Leopoldina,0.517
AL,2702207,Coqueiro Seco,0.586
AL,2702306,Coruripe,0.626
AL,2702355,Craíbas,0.525
AL,2702405,Delmiro Gouveia,0.612
AL,2702504,Dois Riachos,0.532
AL,2702553,Estrela de Alagoas,0.534
AL,2702603,Feira Grande,0.533
AL,2702702,Feliz Deserto,0.565
AL,2702801,Flexeiras,0.527
AL,2702900,Girau do Ponciano,0.536
AL,2703007,Ibateguara,0.518
AL,2703106,Igaci,0.564
AL,2703205,Igreja Nova,0.568
AL,2703304,Inhapi,0.484
AL,2703403,Jacaré dos Homens,0.583
AL,2703502,Jacuípe,0.548
AL,2703601,Japaratinga,0.57
AL,2703700,Jaramataia,0.552
AL,2703759,Jequiá da Praia,0.556
AL,2703809,Joaquim Gomes,0.531
AL,2703908,Jundiá,0.562
AL,2704005,Junqueiro,0.575
AL,2704104,Lagoa da Canoa,0.552
AL,2704203,Limoeiro de Anadia,0.58
AL,2704302,Maceió,0.721
AL,2704401,Major Isidoro,0.566
AL,2704500,Maragogi,0.574
AL,2704609,Maravilha,0.569
AL,2704708,Marechal Deodoro,0.642
AL,2704807,Maribondo,0.597
AL,2704906,Mar Vermelho,0.577
AL,2705002,Mata Grande,0.504
AL,2705101,Matriz de Camaragibe,0.584
AL,2705200,Messias,0.568
AL,2705309,Minador do Negrão,0.563
AL,2705408,Monteirópolis,0.539
AL,2705507,Murici,0.527
AL,2705606,Novo Lino,0.521
AL,2705705,Olho d'Água das Flores,0.565
AL,2705804,Olho d'Água do Casado,0.525
AL,2705903,Olho d'Água Grande,0.503
AL,2706000,Olivença,0.493
AL,2706109,Ouro Branco,0.547
AL,2706208,Palestina,0.558
AL,2706307,Palmeira dos Índios,0.638
