Produção - amendoim
Sigla;Código;Município;2017;2018;2019;2020;2021;2022;2023;
AC;1200013;Acrelândia;0;0;0;0;0;;;
AC;1200054;Assis Brasil;1;0;0;0;0;;;
AC;1200104;Brasiléia;0;0;0;0;0;;;
AC;1200138;Bujari;0;0;0;0;0;;;
AC;1200179;Capixaba;54;35;30;30;30;26;13;
AC;1200203;Cruzeiro do Sul;0;0;0;0;0;;;
AC;1200252;Epitaciolândia;0;0;0;0;0;;;
AC;1200302;Feijó;0;0;0;0;0;;;
AC;1200328;Jordão;0;0;0;0;0;;;
AC;1200336;Mâncio Lima;1;0;0;0;0;;;
AC;1200344;Manoel Urbano;0;0;0;0;0;;;
AC;1200351;Marechal Thaumaturgo;0;0;0;0;0;;;
AC;1200385;Plácido de Castro;36;27;18;18;18;18;9;
AC;1200393;Porto Walter;0;0;0;0;0;;;
AC;1200401;Rio Branco;0;0;0;0;0;;;
AC;1200427;Rodrigues Alves;0;0;0;0;0;;;
AC;1200435;Santa Rosa do Purus;63;54;60;60;60;60;60;
AC;1200450;Senador Guiomard;108;90;9;9;9;7;7;
AC;1200500;Sena Madureira;0;0;0;0;0;;;
AC;1200609;Tarauacá;0;0;0;0;0;;;
AC;1200708;Xapuri;0;0;0;0;0;;;
AC;1200807;Porto Acre;14;5;5;3;5;5;5;
AL;2700102;Água Branca;0;0;0;0;0;;;
AL;2700201;Anadia;62;62;103;90;90;101;111;
AL;2700300;Arapiraca;127;127;195;255;186;109;91;
AL;2700409;Atalaia;11;8;14;14;32;30;31;
AL;2700508;Barra de Santo Antônio;0;0;0;0;0;;;
AL;2700607;Barra de São Miguel;0;0;0;0;0;;;
AL;2700706;Batalha;0;0;0;0;0;;;
AL;2700805;Belém;0;0;0;0;0;;;
AL;2700904;Belo Monte;0;0;0;0;0;;;
AL;2701001;Boca da Mata;225;260;300;440;429;270;200;
AL;2701100;Branquinha;0;0;3;3;8;10;11;
AL;2701209;Cacimbinhas;0;0;0;0;0;;;
AL;2701308;Cajueiro;0;6;0;2;4;4;4;
AL;2701357;Campestre;0;0;0;0;0;;;
AL;2701407;Campo Alegre;60;62;108;120;132;127;127;
AL;2701506;Campo Grande;80;49;56;32;50;12;26;
AL;2701605;Canapi;0;0;0;0;0;;;
AL;2701704;Capela;0;7;3;3;3;3;5;
AL;2701803;Carneiros;0;0;0;0;0;;2;
AL;2701902;Chã Preta;0;0;0;0;0;;;
AL;2702009;Coité do Nóia;5;1;3;3;4;10;8;
AL;2702108;Colônia Leopoldina;0;0;6;6;0;;;
AL;2702207;Coqueiro Seco;0;0;0;0;0;;;
AL;2702306;Coruripe;120;120;120;160;48;12;15;
AL;2702355;Craíbas;5;3;11;11;6;7;12;
AL;2702405;Delmiro Gouveia;0;6;5;0;0;;;
AL;2702504;Dois Riachos;0;0;0;0;0;;;
AL;2702553;Estrela de Alagoas;0;0;0;0;0;;;
AL;2702603;Feira Grande;500;525;480;479;479;536;551;
AL;2702702;Feliz Deserto;0;20;15;8;7;6;6;
AL;2702801;Flexeiras;0;0;0;0;0;;;
AL;2702900;Girau do Ponciano;0;0;0;0;0;;;
AL;2703007;Ibateguara;0;0;0;0;0;;;
AL;2703106;Igaci;0;0;0;0;0;;;
AL;2703205;Igreja Nova;0;86;58;58;58;16;39;
AL;2703304;Inhapi;0;0;0;0;0;;;
AL;2703403;Jacaré dos Homens;0;0;0;0;0;;;
AL;2703502;Jacuípe;0;0;0;0;0;;;
AL;2703601;Japaratinga;0;0;0;0;0;;;
AL;2703700;Jaramataia;0;0;0;0;0;;;
AL;2703759;Jequiá da Praia;12;7;55;60;76;50;67;
AL;2703809;Joaquim Gomes;0;0;0;0;0;;;
AL;2703908;Jundiá;0;0;0;0;0;;;
AL;2704005;Junqueiro;323;334;396;424;428;383;395;
AL;2704104;Lagoa da Canoa;9;0;0;0;0;;2;
AL;2704203;Limoeiro de Anadia;445;445;493;616;618;550;587;
AL;2704302;Maceió;0;0;0;0;0;;;
AL;2704401;Major Isidoro;0;0;0;0;0;;;
AL;2704500;Maragogi;0;0;0;0;0;;;
AL;2704609;Maravilha;0;0;0;0;0;;;
AL;2704708;Marechal Deodoro;0;0;0;0;0;;;
AL;2704807;Maribondo;0;0;0;0;0;;;
AL;2704906;Mar Vermelho;0;0;0;0;0;;;
AL;2705002;Mata Grande;0;0;0;0;0;;;
AL;2705101;Matriz de Camaragibe;0;0;0;0;0;;;
AL;2705200;Messias;0;0;0;0;0;;;
AL;2705309;Minador do Negrão;0;0;0;0;0;;;
AL;2705408;Monteirópolis;0;0;0;0;0;;;
AL;2705507;Murici;0;0;0;0;0;;;
AL;2705606;Novo Lino;0;0;2;3;2;2;2;
AL;2705705;Olho d'Água das Flores;0;0;0;0;0;;;
AL;2705804;Olho d'Água do Casado;0;0;0;0;0;;;
AL;2705903;Olho d'Água Grande;16;22;36;53;41;18;26;
AL;2706000;Olivença;0;0;0;0;0;;;
AL;2706109;Ouro Branco;0;0;0;0;0;;;
AL;2706208;Palestina;0;0;0;0;0;;;
AL;2706307;Palmeira dos Índios;0;0;0;0;0;;;
AL;2706406;Pão de Açúcar;0;0;0;0;0;;;
AL;2706422;Pariconha;0;0;0;0;0;;;
AL;2706448;Paripueira;0;0;0;0;0;;;
AL;2706505;Passo de Camaragibe;0;0;0;0;0;;;
AL;2706604;Paulo Jacinto;0;0;0;0;0;;;
AL;2706703;Penedo;115;11;9;23;23;30;21;
AL;2706802;Piaçabuçu;0;0;0;0;0;;;
AL;2706901;Pilar;0;0;0;0;0;;;
AL;2707008;Pindoba;0;0;0;0;0;;;
AL;2707107;Piranhas;0;0;0;0;0;;;
AL;2707206;Poço das Trincheiras;0;0;0;0;0;;;
AL;2707305;Porto Calvo;0;0;0;0;0;;;
AL;2707404;Porto de Pedras;0;0;0;0;0;;;
AL;2707503;Porto Real do Colégio;44;35;33;30;30;40;35;
AL;2707602;Quebrangulo;0;0;0;0;0;;;
AL;2707701;Rio Largo;0;0;0;0;0;;;
AL;2707800;Roteiro;0;1;1;1;2;1;2;
AL;2707909;Santa Luzia do Norte;0;0;0;0;0;;;
AL;2708006;Santana do Ipanema;0;0;0;0;0;;;
AL;2708105;Santana do Mundaú;0;0;8;8;8;10;11;
AL;2708204;São Brás;0;0;0;0;0;;;
AL;2708303;São José da Laje;0;0;0;0;0;;;
AL;2708402;São José da Tapera;0;0;0;0;0;;;
AL;2708501;São Luís do Quitunde;0;0;0;0;0;;;
AL;2708600;São Miguel dos Campos;2;1;1;2;2;2;2;
AL;2708709;São Miguel dos Milagres;0;0;0;0;0;;2;
AL;2708808;São Sebastião;418;746;1780;1250;1275;405;481;
AL;2708907;Satuba;0;0;0;0;0;;;
