Produção - feijão
Sigla;Código;Município;2017;2018;2019;2020;2021;2022;2023;
AC;1200013;Acrelândia;208;150;125;100;100;230;250;
AC;1200054;Assis Brasil;196;150;132;132;138;210;210;
AC;1200104;Brasiléia;301;330;276;270;286;550;550;
AC;1200138;Bujari;145;149;138;121;110;220;250;
AC;1200179;Capixaba;95;80;70;65;70;140;140;
AC;1200203;Cruzeiro do Sul;293;261;232;215;193;400;320;
AC;1200252;Epitaciolândia;132;121;99;99;105;180;185;
AC;1200302;Feijó;161;134;99;96;79;145;139;
AC;1200328;Jordão;18;15;15;15;14;28;28;
AC;1200336;Mâncio Lima;312;253;168;164;163;280;280;
AC;1200344;Manoel Urbano;104;103;108;108;105;180;180;
AC;1200351;Marechal Thaumaturgo;290;258;261;257;235;400;350;
AC;1200385;Plácido de Castro;33;30;28;28;28;55;60;
AC;1200393;Porto Walter;168;116;113;119;126;200;180;
AC;1200401;Rio Branco;180;168;162;156;156;270;270;
AC;1200427;Rodrigues Alves;270;165;160;177;174;300;300;
AC;1200435;Santa Rosa do Purus;27;24;25;25;27;42;42;
AC;1200450;Senador Guiomard;75;60;50;45;45;100;100;
AC;1200500;Sena Madureira;474;474;417;400;358;650;650;
AC;1200609;Tarauacá;143;100;83;84;82;165;160;
AC;1200708;Xapuri;200;200;209;204;205;380;400;
AC;1200807;Porto Acre;82;60;55;61;56;100;100;
AL;2700102;Água Branca;151;0;261;0;366;244;200;
AL;2700201;Anadia;200;1554;1873;1994;210;230;1420;
AL;2700300;Arapiraca;653;25;338;595;595;420;270;
AL;2700409;Atalaia;54;30;27;27;36;30;40;
AL;2700508;Barra de Santo Antônio;0;0;0;0;0;;;
AL;2700607;Barra de São Miguel;0;0;0;0;0;;;
AL;2700706;Batalha;90;1;4;0;0;;50;
AL;2700805;Belém;18;50;59;62;62;57;42;
AL;2700904;Belo Monte;100;98;55;17;10;10;10;
AL;2701001;Boca da Mata;488;127;143;144;90;306;306;
AL;2701100;Branquinha;205;90;20;20;22;70;100;
AL;2701209;Cacimbinhas;25;0;22;28;180;5;200;
AL;2701308;Cajueiro;12;70;70;144;120;80;40;
AL;2701357;Campestre;20;2;13;4;9;14;14;
AL;2701407;Campo Alegre;250;120;133;186;90;252;250;
AL;2701506;Campo Grande;160;22;22;4;15;11;10;
AL;2701605;Canapi;261;0;36;0;100;40;30;
AL;2701704;Capela;60;31;26;27;27;30;30;
AL;2701803;Carneiros;33;2;15;40;200;95;425;
AL;2701902;Chã Preta;80;80;80;120;120;90;30;
AL;2702009;Coité do Nóia;180;51;77;68;35;50;130;
AL;2702108;Colônia Leopoldina;6;4;25;25;0;20;5;
AL;2702207;Coqueiro Seco;0;0;0;0;0;;;
AL;2702306;Coruripe;500;1700;647;567;524;670;420;
AL;2702355;Craíbas;225;1;18;10;38;5;20;
AL;2702405;Delmiro Gouveia;476;0;9;84;255;400;130;
AL;2702504;Dois Riachos;132;0;62;17;209;403;257;
AL;2702553;Estrela de Alagoas;160;4;70;150;66;105;48;
AL;2702603;Feira Grande;450;78;149;110;15;6;270;
AL;2702702;Feliz Deserto;20;21;18;18;5;30;37;
AL;2702801;Flexeiras;10;1;4;4;0;4;11;
AL;2702900;Girau do Ponciano;585;44;539;200;450;800;600;
AL;2703007;Ibateguara;12;17;19;17;22;56;36;
AL;2703106;Igaci;172;60;36;310;468;71;385;
AL;2703205;Igreja Nova;248;174;174;114;170;250;290;
AL;2703304;Inhapi;175;0;110;15;300;95;800;
AL;2703403;Jacaré dos Homens;20;1;5;0;0;;9;
AL;2703502;Jacuípe;12;10;10;1;3;3;4;
AL;2703601;Japaratinga;55;24;64;24;24;52;20;
AL;2703700;Jaramataia;18;2;10;2;2;1;50;
AL;2703759;Jequiá da Praia;7;5;3;3;37;32;32;
AL;2703809;Joaquim Gomes;20;20;15;25;0;140;50;
AL;2703908;Jundiá;20;4;7;4;4;8;8;
AL;2704005;Junqueiro;210;240;240;212;290;350;400;
AL;2704104;Lagoa da Canoa;550;276;532;470;350;230;80;
AL;2704203;Limoeiro de Anadia;150;167;410;253;255;250;300;
AL;2704302;Maceió;0;0;0;0;0;;;
AL;2704401;Major Isidoro;32;1;2;44;200;55;115;
AL;2704500;Maragogi;168;85;145;180;55;76;50;
AL;2704609;Maravilha;48;0;0;0;88;55;150;
AL;2704708;Marechal Deodoro;0;0;0;0;0;;;
AL;2704807;Maribondo;30;35;12;24;31;30;40;
AL;2704906;Mar Vermelho;8;3;5;5;4;5;5;
AL;2705002;Mata Grande;250;0;69;72;450;220;490;
AL;2705101;Matriz de Camaragibe;120;0;0;0;0;30;30;
AL;2705200;Messias;0;0;0;0;0;;;
AL;2705309;Minador do Negrão;32;0;9;123;75;60;36;
AL;2705408;Monteirópolis;37;1;0;3;30;20;31;
AL;2705507;Murici;0;0;0;26;0;65;70;
AL;2705606;Novo Lino;0;0;12;8;0;20;;
AL;2705705;Olho d'Água das Flores;10;5;29;10;60;30;190;
AL;2705804;Olho d'Água do Casado;220;0;1;7;82;295;240;
AL;2705903;Olho d'Água Grande;18;9;11;6;6;4;15;
AL;2706000;Olivença;20;1;7;20;58;20;10;
AL;2706109;Ouro Branco;410;1;0;10;16;;200;
AL;2706208;Palestina;12;1;1;0;7;3;6;
AL;2706307;Palmeira dos Índios;142;75;311;800;700;215;742;
AL;2706406;Pão de Açúcar;382;1;36;75;319;130;350;
AL;2706422;Pariconha;100;0;40;7;204;400;145;
AL;2706448;Paripueira;0;0;1;0;0;;;
AL;2706505;Passo de Camaragibe;7;0;0;0;0;;;
AL;2706604;Paulo Jacinto;7;3;12;12;15;30;30;
AL;2706703;Penedo;200;114;114;148;148;191;61;
AL;2706802;Piaçabuçu;0;2;2;2;0;2;3;
AL;2706901;Pilar;0;0;0;0;0;;;
AL;2707008;Pindoba;9;3;6;4;8;10;10;
AL;2707107;Piranhas;241;0;72;86;356;730;330;
AL;2707206;Poço das Trincheiras;488;4;19;90;240;100;300;
AL;2707305;Porto Calvo;10;6;9;9;0;73;108;
AL;2707404;Porto de Pedras;12;6;1;1;1;1;1;
AL;2707503;Porto Real do Colégio;128;17;66;40;60;86;133;
AL;2707602;Quebrangulo;216;276;500;444;720;500;500;
AL;2707701;Rio Largo;0;0;0;0;0;;;
AL;2707800;Roteiro;0;9;9;9;9;20;20;
AL;2707909;Santa Luzia do Norte;0;0;0;0;0;;;
AL;2708006;Santana do Ipanema;250;2;157;60;550;160;100;
AL;2708105;Santana do Mundaú;40;6;5;5;0;15;15;
AL;2708204;São Brás;85;47;37;44;74;49;98;
AL;2708303;São José da Laje;0;0;16;16;17;20;20;
AL;2708402;São José da Tapera;300;0;63;75;388;500;770;
AL;2708501;São Luís do Quitunde;200;60;0;0;0;;;
AL;2708600;São Miguel dos Campos;57;0;0;3;3;5;5;
AL;2708709;São Miguel dos Milagres;18;45;29;3;6;1;5;
AL;2708808;São Sebastião;350;141;198;228;250;400;250;
AL;2708907;Satuba;0;0;0;0;0;;;
AL;2708956;Senador Rui Palmeira;119;1;14;36;180;100;200;
AL;2709004;Tanque d'Arca;53;29;35;60;50;23;80;
AL;2709103;Taquarana;1550;1409;683;1133;1350;320;1825;
AL;2709152;Teotônio Vilela;250;572;432;500;441;600;600;
AL;2709202;Traipu;400;55;135;130;330;75;370;
AL;2709301;União dos Palmares;150;20;24;26;20;50;50;
AL;2709400;Viçosa;12;6;23;36;28;40;40;
AM;1300029;Alvarães;2;2;1;1;1;1;1;
AM;1300060;Amaturá;0;28;33;28;5;4;4;
AM;1300086;Anamã;0;0;0;0;0;;;
AM;1300102;Anori;22;20;25;28;25;18;20;
AM;1300144;Apuí;4;4;5;6;6;10;10;
AM;1300201;Atalaia do Norte;15;15;9;15;15;10;2;
AM;1300300;Autazes;0;0;0;0;0;;5;
AM;1300409;Barcelos;24;0;0;0;0;;;
AM;1300508;Barreirinha;5;0;0;1;1;1;2;
AM;1300607;Benjamin Constant;43;12;16;6;2;2;10;
AM;1300631;Beruri;0;0;0;0;0;;;
AM;1300680;Boa Vista do Ramos;0;3;8;6;3;4;3;
AM;1300706;Boca do Acre;0;0;0;0;0;82;182;
AM;1300805;Borba;0;0;0;0;0;;;
AM;1300839;Caapiranga;0;0;0;0;0;;;
AM;1300904;Canutama;8;9;9;45;16;20;18;
AM;1301001;Carauari;3;3;3;3;6;8;8;
AM;1301100;Careiro;0;0;0;0;0;;;
AM;1301159;Careiro da Várzea;0;0;127;124;108;100;10;
AM;1301209;Coari;15;18;15;16;15;8;10;
AM;1301308;Codajás;0;0;0;0;0;;;
AM;1301407;Eirunepé;86;476;153;180;46;36;36;
AM;1301506;Envira;52;60;70;48;58;70;72;
AM;1301605;Fonte Boa;0;0;0;0;0;;;
AM;1301654;Guajará;28;13;14;12;10;14;15;
AM;1301704;Humaitá;45;45;43;43;41;50;;
AM;1301803;Ipixuna;6;14;19;19;16;20;35;
AM;1301852;Iranduba;0;0;6;0;0;;;
AM;1301902;Itacoatiara;226;280;244;226;152;200;;
AM;1301951;Itamarati;0;0;4;4;4;5;5;
AM;1302009;Itapiranga;30;0;0;0;0;;;
AM;1302108;Japurá;0;0;0;0;0;;;
AM;1302207;Juruá;0;0;0;0;0;;;
AM;1302306;Jutaí;13;12;10;9;8;27;25;
AM;1302405;Lábrea;512;17;300;370;358;;100;
AM;1302504;Manacapuru;438;0;0;0;0;;;
AM;1302553;Manaquiri;0;0;0;0;0;;;
AM;1302603;Manaus;0;0;0;0;0;;;
AM;1302702;Manicoré;0;0;0;0;0;;;
AM;1302801;Maraã;0;0;0;0;0;;;
AM;1302900;Maués;0;0;0;0;0;;;
AM;1303007;Nhamundá;2;2;3;1;1;1;1;
AM;1303106;Nova Olinda do Norte;21;16;20;22;26;20;20;
AM;1303205;Novo Airão;0;0;0;0;0;;;
AM;1303304;Novo Aripuanã;7;5;5;5;5;6;9;
AM;1303403;Parintins;0;1;1;6;2;;;
AM;1303502;Pauini;40;100;98;100;96;101;110;
AM;1303536;Presidente Figueiredo;64;0;3;1;1;;;
AM;1303569;Rio Preto da Eva;0;0;0;0;0;;;
AM;1303601;Santa Isabel do Rio Negro;0;0;0;0;0;;;
AM;1303700;Santo Antônio do Içá;0;8;8;18;0;;;
AM;1303809;São Gabriel da Cachoeira;2;0;0;0;0;;;
AM;1303908;São Paulo de Olivença;0;0;7;10;2;10;2;
AM;1303957;São Sebastião do Uatumã;76;24;51;34;28;25;20;
AM;1304005;Silves;0;0;0;0;0;;;
AM;1304062;Tabatinga;1;0;2;2;4;2;6;
AM;1304104;Tapauá;345;25;23;24;23;24;24;
AM;1304203;Tefé;80;77;74;71;69;80;62;
AM;1304237;Tonantins;6;6;7;8;0;;;
AM;1304260;Uarini;0;0;0;0;0;;;
AM;1304302;Urucará;0;0;0;0;0;5;2;
