CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município
Período:Abr/2024
"Município";"Quantidade_existente"
"110001 ALTA FLORESTA D'OESTE";55
"110002 ARIQUEMES";257
"110003 CABIXI";8
"110004 CACOAL";407
"110005 CEREJEIRAS";40
"110006 COLORADO DO OESTE";50
"110007 CORUMBIARA";10
"110008 COSTA MARQUES";45
"110009 ESPIGAO D'OESTE";54
"110010 GUAJARA-MIRIM";114
"110011 JARU";115
"110012 JI-PARANA";327
"110013 MACHADINHO D'OESTE";48
"110014 NOVA BRASILANDIA D'OESTE";44
"110015 OURO PRETO DO OESTE";158
"110018 PIMENTA BUENO";67
"110020 PORTO VELHO";1890
"110025 PRESIDENTE MEDICI";48
"110026 RIO CRESPO";8
"110028 ROLIM DE MOURA";81
"110029 SANTA LUZIA D'OESTE";25
"110030 VILHENA";271
"110032 SAO MIGUEL DO GUAPORE";46
"110033 NOVA MAMORE";35
"110034 ALVORADA D'OESTE";35
"110037 ALTO ALEGRE DOS PARECIS";24
"110040 ALTO PARAISO";16
"110045 BURITIS";66
"110050 NOVO HORIZONTE DO OESTE";23
"110060 CACAULANDIA";13
"110070 CAMPO NOVO DE RONDONIA";19
"110080 CANDEIAS DO JAMARI";15
"110090 CASTANHEIRAS";12
"110092 CHUPINGUAIA";11
"110094 CUJUBIM";29
"110100 GOVERNADOR JORGE TEIXEIRA";22
"110110 ITAPUA DO OESTE";20
"110120 MINISTRO ANDREAZZA";16
"110130 MIRANTE DA SERRA";33
"110140 MONTE NEGRO";31
"110143 NOVA UNIAO";17
"110145 PARECIS";8
"110146 PIMENTEIRAS DO OESTE";6
"110148 SAO FELIPE D'OESTE";12
"110149 SAO FRANCISCO DO GUAPORE";28
"110150 SERINGUEIRAS";36
"110155 TEIXEIROPOLIS";12
"110160 THEOBROMA";13
"110170 URUPA";25
"110175 VALE DO ANARI";12
"110180 VALE DO PARAISO";16
"120001 ACRELANDIA";7
"120005 ASSIS BRASIL";12
"120010 BRASILEIA";61
"120020 CRUZEIRO DO SUL";190
"120030 FEIJO";42
"120032 JORDAO";10
"120033 MANCIO LIMA";32
"120034 MANOEL URBANO";25
"120035 MARECHAL THAUMATURGO";14
"120038 PLACIDO DE CASTRO";45
"120039 PORTO WALTER";7
"120040 RIO BRANCO";973
"120042 RODRIGUES ALVES";16
"120043 SANTA ROSA DO PURUS";16
"120045 SENADOR GUIOMARD";30
"120050 SENA MADUREIRA";34
"120060 TARAUACA";42
"120070 XAPURI";34
"130002 ALVARAES";38
"130006 AMATURA";30
"130008 ANAMA";20
"130010 ANORI";32
"130014 APUI";36
"130020 ATALAIA DO NORTE";33
"130030 AUTAZES";41
"130040 BARCELOS";29
"130050 BARREIRINHA";30
"130060 BENJAMIN CONSTANT";48
"130063 BERURI";22
"130068 BOA VISTA DO RAMOS";22
"130070 BOCA DO ACRE";65
"130080 BORBA";49
"130083 CAAPIRANGA";20
"130090 CANUTAMA";24
"130100 CARAUARI";46
"130110 CAREIRO";20
"130115 CAREIRO DA VARZEA";19
"130120 COARI";105
"130130 CODAJAS";48
"130140 EIRUNEPE";76
"130150 ENVIRA";24
"130160 FONTE BOA";58
"130165 GUAJARA";20
"130170 HUMAITA";40
"130180 IPIXUNA";26
"130185 IRANDUBA";40
"130190 ITACOATIARA";110
"130195 ITAMARATI";25
"130200 ITAPIRANGA";29
"130210 JAPURA";20
"130220 JURUA";20
"130230 JUTAI";25
"130240 LABREA";52
"130250 MANACAPURU";72
"130255 MANAQUIRI";30
"130260 MANAUS";3726
"130270 MANICORE";51
"130280 MARAA";19
"130290 MAUES";95
"130300 NHAMUNDA";24
"130310 NOVA OLINDA DO NORTE";42
"130320 NOVO AIRAO";26
"130330 NOVO ARIPUANA";27
"130340 PARINTINS";183
"130350 PAUINI";29
"130353 PRESIDENTE FIGUEIREDO";29
"130356 RIO PRETO DA EVA";23
"130360 SANTA ISABEL DO RIO NEGRO";21
"130370 SANTO ANTONIO DO ICA";72
"130380 SAO GABRIEL DA CACHOEIRA";78
"130390 SAO PAULO DE OLIVENCA";46
"130395 SAO SEBASTIAO DO UATUMA";20
"130400 SILVES";27
"130406 TABATINGA";63
"130410 TAPAUA";30
"130420 TEFE";93
