ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
110001,202001,1521,232541.0
110002,202001,3626,518218.0
110003,202001,180,25892.0
110004,202001,2970,465018.0
110005,202001,686,98866.0
110006,202001,360,51411.0
110007,202001,390,55790.0
110008,202001,1592,284087.0
110009,202001,1486,239652.0
110010,202001,2871,534240.0
110011,202001,2051,240437.0
110012,202001,2290,298485.0
110013,202001,1836,229584.0
110014,202001,1387,187519.0
110015,202001,1075,144607.0
110018,202001,873,132769.0
110020,202001,22406,3616870.0
110025,202001,1509,238356.0
110026,202001,183,30142.0
110028,202001,1441,181240.0
110029,202001,421,61338.0
110030,202001,2587,400388.0
110032,202001,777,103126.0
110033,202001,1312,194707.0
110034,202001,1149,154464.0
110037,202001,750,120971.0
110040,202001,1056,145255.0
110045,202001,1973,292162.0
110050,202001,634,71215.0
110060,202001,240,28489.0
110070,202001,556,76140.0
110080,202001,2701,452658.0
110090,202001,201,32352.0
110092,202001,408,85414.0
110094,202001,1013,142793.0
110100,202001,825,116401.0
110110,202001,565,85055.0
110120,202001,467,66190.0
110130,202001,787,118815.0
110140,202001,608,87034.0
110143,202001,343,44131.0
110145,202001,253,35290.0
110146,202001,156,29942.0
110147,202001,179,27542.0
110148,202001,130,16094.0
110149,202001,967,127158.0
110150,202001,847,114876.0
110155,202001,247,38798.0
110160,202001,499,67919.0
110170,202001,796,120523.0
110175,202001,632,104752.0
110180,202001,526,91976.0
120001,202001,1610,301157.0
120005,202001,1416,445651.0
120010,202001,3114,616559.0
120013,202001,1388,305050.0
120017,202001,1482,325687.0
120020,202001,10447,3354150.0
120025,202001,1752,355070.0
120030,202001,4718,1418405.0
120032,202001,1325,500257.0
120033,202001,3228,1084338.0
120034,202001,1738,587040.0
120035,202001,2757,858146.0
120038,202001,1500,263177.0
120039,202001,1514,501557.0
120040,202001,22146,5086592.0
120042,202001,2423,741840.0
120043,202001,1125,431104.0
120045,202001,4200,1043008.0
120050,202001,6917,2001944.0
120060,202001,7360,2552568.0
120070,202001,1973,393504.0
120080,202001,2660,584364.0
130002,202001,2296,637593.0
130006,202001,1518,316770.0
130008,202001,1956,602437.0
130010,202001,2928,758323.0
130014,202001,1297,260801.0
130020,202001,1927,720279.0
130030,202001,7477,2107142.0
130040,202001,2404,473250.0
130050,202001,5416,1717880.0
130060,202001,5321,1625011.0
130063,202001,4733,1366502.0
130068,202001,2304,670032.0
130070,202001,4749,1087319.0
130080,202001,4930,1492312.0
130083,202001,2017,429205.0
130090,202001,2479,759953.0
130100,202001,5885,1829630.0
130110,202001,5150,987795.0
130115,202001,3812,1101507.0
130120,202001,9527,2266545.0
130130,202001,3241,755074.0
130140,202001,5290,1760139.0
130150,202001,2862,1071075.0
130160,202001,3489,828637.0
130165,202001,2587,914495.0
130170,202001,7089,1744406.0
130180,202001,3768,1061870.0
130185,202001,11486,2086493.0
130190,202001,10984,2548100.0
130195,202001,1654,540191.0
130200,202001,1611,348198.0
130210,202001,908,291630.0
130220,202001,1617,509873.0
130230,202001,3266,1123297.0
130240,202001,8047,2505231.0
130250,202001,17498,4015521.0
130255,202001,2895,668741.0
130260,202001,116138,1.8725068E7
130270,202001,5438,1161062.0
130280,202001,2841,1076397.0
130290,202001,9278,2746080.0
130300,202001,3544,1064114.0
130310,202001,4137,1118940.0
130320,202001,2122,465162.0
130330,202001,3024,857530.0
130340,202001,15664,3534106.0
130350,202001,3042,976262.0
130353,202001,3735,754151.0
130356,202001,2906,543901.0
130360,202001,2200,636705.0
130370,202001,4179,1188994.0
130380,202001,5117,1756253.0
130390,202001,4056,1211429.0
130395,202001,1514,318306.0
130400,202001,1968,526056.0
130406,202001,6580,1252534.0
130410,202001,2412,409267.0
130420,202001,8410,2311326.0
130423,202001,3153,837215.0
130426,202001,2305,777726.0
130430,202001,2851,679285.0
130440,202001,3561,1085920.0
140002,202001,1376,383816.0
140005,202001,2054,443202.0
140010,202001,16703,2760006.0
140015,202001,2326,652006.0
140017,202001,2551,703459.0
140020,202001,3185,789123.0
140023,202001,1389,289873.0
140028,202001,1293,264456.0
140030,202001,3375,681886.0
140040,202001,1937,694845.0
140045,202001,1498,366205.0
140047,202001,3177,741732.0
140050,202001,824,156073.0
140060,202001,955,201978.0
140070,202001,1482,654536.0
150010,202001,33775,6991012.0
150013,202001,1145,272270.0
150020,202001,10941,2202078.0
150030,202001,6709,1546276.0
150034,202001,2466,478335.0
150040,202001,11216,2012604.0
150050,202001,5451,1792132.0
150060,202001,10309,2068037.0
150070,202001,4968,1550682.0
150080,202001,29675,4122506.0
150085,202001,5356,1364226.0
150090,202001,7648,1808552.0
150095,202001,3844,820111.0
150100,202001,1945,513025.0
150110,202001,3571,1056033.0
150120,202001,6291,1263854.0
150125,202001,351,69112.0
150130,202001,13423,2530522.0
150140,202001,114699,1.8043788E7
150145,202001,2537,443165.0
150150,202001,10166,2294588.0
150157,202001,1984,386125.0
150160,202001,1900,309985.0
150170,202001,15057,2931185.0
150172,202001,2534,509012.0
150175,202001,933,187359.0
150178,202001,6652,1521748.0
150180,202001,16734,3981892.0
150190,202001,5258,1505903.0
150195,202001,4065,1158402.0
150200,202001,4615,1220922.0
150210,202001,19456,3961951.0
150215,202001,3617,749198.0
150220,202001,7111,1286559.0
150230,202001,7450,1208384.0
150240,202001,12588,1800782.0
150250,202001,3059,894498.0
150260,202001,1858,431588.0
150270,202001,3081,464917.0
150275,202001,5167,1293888.0
150276,202001,1177,238319.0
150277,202001,2999,504224.0
150280,202001,5509,1500685.0
150285,202001,2113,504069.0
150290,202001,8200,1815100.0
150293,202001,4017,706585.0
150295,202001,3123,519913.0
150300,202001,1724,489262.0
150304,202001,2094,381682.0
150307,202001,4590,871340.0
150309,202001,3045,550578.0
150310,202001,5939,2123589.0
150320,202001,6222,999529.0
150330,202001,9746,1847483.0
150340,202001,1673,312277.0
150345,202001,5740,1252311.0
150350,202001,6310,1034450.0
150360,202001,12197,2473450.0
150370,202001,6002,1240337.0
150375,202001,2559,740922.0
150380,202001,7026,1726559.0
150390,202001,5401,1170254.0
150400,202001,5238,1026605.0
150405,202001,6193,1172058.0
150410,202001,1143,226908.0
150420,202001,14328,2325718.0
150430,202001,5950,1065572.0
150440,202001,3867,731324.0
150442,202001,13186,2355563.0
150445,202001,4276,1004743.0
150450,202001,4082,1157391.0
150460,202001,6456,1858000.0
150470,202001,15466,3419737.0
150475,202001,3212,710700.0
150480,202001,9196,1585500.0
150490,202001,6652,1589405.0
150495,202001,4242,1275589.0
150497,202001,1370,265059.0
150500,202001,2221,381321.0
150503,202001,1546,267730.0
150506,202001,5603,1071307.0
150510,202001,6076,1374457.0
150520,202001,6105,1711244.0
150530,202001,7933,1520635.0
150540,202001,3389,752258.0
150543,202001,3945,777224.0
150548,202001,7162,1853779.0
150549,202001,1429,374501.0
150550,202001,9290,1535933.0
150553,202001,9278,1481065.0
150555,202001,929,193867.0
150560,202001,1034,187914.0
150563,202001,1286,238061.0
150565,202001,2898,788382.0
150570,202001,4810,833620.0
150580,202001,7295,1581277.0
150590,202001,5833,1941239.0
150600,202001,7554,2260538.0
150610,202001,1880,460790.0
150611,202001,2296,536543.0
150613,202001,5377,1006207.0
150616,202001,1226,203715.0
150618,202001,3683,780211.0
150619,202001,3960,849262.0
150620,202001,3996,721238.0
150630,202001,4532,881887.0
150635,202001,2407,458328.0
150640,202001,1823,473732.0
150650,202001,6125,933486.0
150655,202001,4282,961225.0
150658,202001,2216,376074.0
150660,202001,3392,558969.0
150670,202001,4474,798875.0
150680,202001,26746,5323995.0
150690,202001,1866,396419.0
150700,202001,4040,744259.0
150710,202001,2668,507069.0
150715,202001,2950,605665.0
150720,202001,5148,1291658.0
150730,202001,6986,1646386.0
150740,202001,2540,411601.0
150745,202001,2970,509491.0
150746,202001,1092,273678.0
150747,202001,3023,561933.0
150750,202001,2292,592903.0
150760,202001,8070,1552999.0
150770,202001,5172,1521538.0
150775,202001,418,82283.0
150780,202001,3295,923992.0
150790,202001,3772,845329.0
150795,202001,8177,1505207.0
150796,202001,2525,479523.0
150797,202001,2659,610943.0
150800,202001,9107,1805965.0
150803,202001,5190,1191823.0
150805,202001,2124,397973.0
150808,202001,1711,227997.0
150810,202001,9678,1648049.0
150812,202001,3216,718504.0
150815,202001,5972,1244505.0
150820,202001,7439,1323706.0
150830,202001,8860,2565665.0
150835,202001,1178,263628.0
150840,202001,3277,636344.0
160005,202001,828,210970.0
160010,202001,2139,518353.0
160015,202001,1835,504395.0
160020,202001,1330,279436.0
160021,202001,774,270559.0
160023,202001,750,154013.0
160025,202001,1620,446242.0
160027,202001,6184,1310309.0
160030,202001,31452,6249961.0
160040,202001,4187,1394417.0
160050,202001,2098,347578.0
160053,202001,2519,670804.0
160055,202001,635,170817.0
160060,202001,14272,3233673.0
160070,202001,1911,578241.0
160080,202001,2374,786289.0
