codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
110001,202312,1724,1179011.0,685.47
110002,202312,6718,4569752.0,681.14
110003,202312,326,217310.0,666.6
110004,202312,5921,4008414.0,677.21
110005,202312,1123,800852.0,713.14
110006,202312,493,334145.0,680.54
110007,202312,357,233019.0,652.71
110008,202312,2105,1506744.0,719.55
110009,202312,1832,1228978.0,671.57
110010,202312,4932,3838589.0,779.41
110011,202312,3236,2154804.0,667.54
110012,202312,6950,4816309.0,693.89
110013,202312,2755,1899299.0,689.9
110014,202312,1673,1092422.0,652.97
110015,202312,2380,1618965.0,682.53
110018,202312,1564,1053770.0,675.93
110020,202312,43944,30363987.0,693.29
110025,202312,2288,1511362.0,660.56
110026,202312,227,158599.0,698.67
110028,202312,2030,1360632.0,671.59
110029,202312,589,400577.0,680.1
110030,202312,4550,3159912.0,697.24
110032,202312,1262,858612.0,680.9
110033,202312,2687,2006723.0,749.62
110034,202312,1388,956906.0,691.91
110037,202312,650,430431.0,662.2
110040,202312,1272,871625.0,685.24
110045,202312,2108,1474189.0,702.33
110050,202312,532,352413.0,662.43
110060,202312,336,228050.0,680.75
110070,202312,648,434234.0,673.23
110080,202312,3576,2478557.0,698.58
110090,202312,262,182841.0,697.87
110092,202312,781,563919.0,722.05
110094,202312,1385,955686.0,690.03
110100,202312,983,682195.0,693.99
110110,202312,761,520158.0,684.42
110120,202312,625,413098.0,663.08
110130,202312,687,515003.0,750.73
110140,202312,1392,961380.0,690.65
110143,202312,651,464074.0,712.86
110145,202312,392,272779.0,695.86
110146,202312,252,176515.0,700.46
110147,202312,298,196145.0,658.2
110148,202312,199,130231.0,654.43
110149,202312,1451,999894.0,692.93
110150,202312,801,558256.0,698.69
110155,202312,377,250428.0,664.27
110160,202312,592,405106.0,684.3
110170,202312,1033,694580.0,673.04
110175,202312,1011,706608.0,699.61
110180,202312,555,374956.0,675.6
120001,202312,2357,1707892.0,724.91
120005,202312,1755,1443793.0,824.55
120010,202312,4898,3480336.0,711.0
