ibge,anomes,bpc_ben,bpc_pcd_ben,bpc_idoso_ben,bpc_pcd_val,bpc_idoso_val,bpc_val
110001,202201,502,407,95,493284,116352,609636
110002,202201,2806,1782,1024,2163420,1242300.6,3405720.6
110003,202201,79,64,15,77568,18180,95748
110004,202201,1992,1338,654,1621657.8,792648,2414305.8
110005,202201,421,338,83,409656.6,101808,511464.6
110006,202201,432,324,108,392688.6,130896,523584.6
110007,202201,69,55,14,66660,16968,83628
110008,202201,243,138,105,167256,127260,294516
110009,202201,905,681,224,825372,271488.4,1096860.4
110010,202201,1650,979,671,1187760.19,813252,2001012.19
110011,202201,1681,1312,369,1591356,448440,2039796
110012,202201,4034,2350,1684,2849412,2041008,4890420
110013,202201,736,581,155,705384,187860,893244
110014,202201,361,319,42,386628,50904,437532
110015,202201,1342,1059,283,1284721.04,342996.6,1627717.64
110018,202201,1033,634,399,769620.6,483588,1253208.6
110020,202201,15624,8882,6742,10777115.17,8188274.56,18965389.73
110025,202201,649,473,176,573276.6,214524,787800.6
110026,202201,36,23,13,27876,15756,43632
110028,202201,1569,1117,452,1353805.76,550249.8,1904055.56
110029,202201,130,118,12,143016,14544,157560
110030,202201,2373,1577,796,1912343.55,965965.45,2878309.00
110032,202201,300,228,72,276336.6,87264,363600.6
110033,202201,642,462,180,561156,218160,779316
110034,202201,325,239,86,289668.98,104232,393900.98
110037,202201,85,76,9,92112,10908,103020
110040,202201,388,268,120,324816,145440,470256
110045,202201,918,640,278,775680.6,338148.16,1113828.76
110050,202201,87,76,11,92112,13332,105444
110060,202201,60,35,25,42420,30300,72720
110070,202201,107,69,38,83628,46056,129684
110080,202201,510,290,220,351480.6,266640,618120.6
110090,202201,25,21,4,25452,4848,30300
110092,202201,110,59,51,71508,61812,133320
110094,202201,191,134,57,162408,69084,231492
110100,202201,44,30,14,36360,16968,53328
110110,202201,95,54,41,65448,49692,115140
110120,202201,65,56,9,67872,10908,78780
110130,202201,273,221,52,267852,63024,330876
110140,202201,241,173,68,209676,82416,292092
110143,202201,51,42,9,50904,10908,61812
110145,202201,37,29,8,35148,9696,44844
110146,202201,22,10,12,12120,14544,26664
110147,202201,37,26,11,31512,13332,44844
110148,202201,36,27,9,32724,10908,43632
110149,202201,312,220,92,267852,111504,379356
110150,202201,134,102,32,123624,38784,162408
110155,202201,11,10,1,12120,1212,13332
110160,202201,63,50,13,60600,15756,76356
110170,202201,215,166,49,201192,59388,260580
110175,202201,62,48,14,58176,16968,75144
110180,202201,93,75,18,90900,21816,112716
120001,202201,193,145,48,176952.55,58176,235128.55
120005,202201,199,115,84,139380.87,101808,241188.87
120010,202201,1124,692,432,841128.6,524796,1365924.6
120013,202201,152,104,48,126048,58176,184224
120017,202201,113,62,51,76356,61812,138168
120020,202201,3438,2784,654,3375497.33,792661.2,4168158.53
120025,202201,544,305,239,369661.15,289668,659329.15
120030,202201,1043,899,144,1089637.96,174536.8,1264174.76
120032,202201,38,34,4,41208,4848,46056
120033,202201,220,192,28,232711.7,33936.55,266648.25
120034,202201,172,126,46,152712.55,55752,208464.55
120035,202201,38,32,6,38784,7272,46056
120038,202201,404,258,146,312699.3,176952.55,489651.85
120039,202201,29,28,1,33937.65,1212,35149.65
120040,202201,13883,9376,4507,11369874.79,5467670.4,16837545.19
120042,202201,44,39,5,47268,6060.55,53328.55
120043,202201,14,3,11,3636,13332,16968
120045,202201,536,342,194,414504.55,235129.65,649634.20
120050,202201,1246,955,291,1157513.92,352704.65,1510218.57
120060,202201,1441,1197,244,1450820.1,295734.6,1746554.7
120070,202201,406,293,113,355117.5,136956,492073.5
120080,202201,179,113,66,136957.65,79992.55,216950.20
130002,202201,164,119,45,144228,54540,198768
130006,202201,105,69,36,83628,43632,127260
130008,202201,129,74,55,89688,66660,156348
130010,202201,155,94,61,113928,73932,187860
130014,202201,271,194,77,235128,93324,328452
130020,202201,123,80,43,96960,52116,149076
130030,202201,936,531,405,645996,490860,1136856
130040,202201,346,164,182,198768,220584,419352
130050,202201,546,285,261,346632.6,316332,662964.6
130060,202201,859,591,268,716293.2,324816,1041109.2
130063,202201,605,363,242,439956,293304,733260
130068,202201,194,118,76,143016,92112,235128
130070,202201,1330,895,435,1085952.55,527220,1613172.55
130080,202201,687,456,231,552672,281184,833856
130083,202201,70,40,30,48480,36360,84840
130090,202201,325,183,142,221796,172104,393900
130100,202201,1187,541,646,655692.6,782952,1438644.6
130110,202201,715,312,403,378144,488436,866580
130115,202201,138,64,74,77568,89688,167256
130120,202201,1615,1011,604,1225332.6,732048,1957380.6
130130,202201,596,411,185,498132,225432,723564
130140,202201,1542,1197,345,1450764,419352,1870116
130150,202201,396,352,44,426624,53328,479952
130160,202201,426,250,176,303000,215736,518736
130165,202201,57,46,11,55752,13332,69084
130170,202201,996,696,300,843474.43,364812.9,1208287.33
130180,202201,243,176,67,213312,81204,294516
130185,202201,2182,1009,1173,1224120,1422888,2647008
130190,202201,3344,2103,1241,2548837,1505304,4054141
130195,202201,276,221,55,270276.6,67872,338148.6
130200,202201,171,80,91,96960.6,110292,207252.6
130210,202201,92,47,45,56964,54540,111504
130220,202201,196,140,56,170892,67872,238764
130230,202201,368,241,127,292092,153924,446016
130240,202201,1311,850,461,1030200,558732,1588932
130250,202201,4961,3133,1828,3798408.4,2215536,6013944.4
130255,202201,408,205,203,248460,246036,494496
130260,202201,58705,27686,31019,33586855.79,37631654.51,71218510.30
130270,202201,1513,1033,480,1252105.08,581760,1833865.08
130280,202201,131,77,54,93324,65448,158772
130290,202201,2084,1402,682,1700436,826584,2527020
130300,202201,421,286,135,346632,163620,510252
130310,202201,906,481,425,582972,515100,1098072
130320,202201,515,269,246,326028,298152,624180
130330,202201,753,474,279,574488,338148,912636
130340,202201,3349,1881,1468,2280984,1780428.6,4061412.6
130350,202201,470,324,146,393900,176952,570852
130353,202201,925,407,518,493284.6,627816,1121100.6
130356,202201,770,342,428,414505.2,518736,933241.2
130360,202201,85,66,19,79992,23028,103020
130370,202201,681,529,152,641148,184224,825372
130380,202201,645,503,142,612060,172104,784164
130390,202201,468,382,86,464196,104232,568428
130395,202201,157,44,113,53328,136956,190284
130400,202201,70,49,21,59388,25452,84840
130406,202201,2202,1300,902,1576814.4,1093224,2670038.4
130410,202201,439,222,217,269064,263004,532068
130420,202201,2786,2266,520,2748817.2,631452,3380269.2
130423,202201,167,93,74,112716.6,89688,202404.6
130426,202201,184,100,84,121200,101808,223008
130430,202201,401,236,165,287244,199980,487224
130440,202201,205,65,140,78780,169680,248460
140002,202201,23,3,20,3636,24240,27876
140005,202201,209,125,84,151500,101808,253308
140010,202201,11261,6940,4321,8418562.63,5239478.21,13658040.84
140015,202201,144,66,78,79992,94536,174528
140017,202201,121,68,53,82416,64236,146652
140020,202201,444,290,154,351480,186648,538128
140023,202201,39,20,19,24240,23028,47268
140028,202201,23,12,11,14544,13332,27876
140030,202201,357,237,120,287244,145440,432684
140040,202201,62,44,18,53328,21816,75144
140045,202201,263,101,162,122412,197556,319968
140047,202201,472,314,158,380568.6,191496,572064.6
140050,202201,137,84,53,101808,65448,167256
140060,202201,65,41,24,49692,29088,78780
140070,202201,29,27,2,32724,2424,35148
150010,202201,4872,2932,1940,3556009.2,2356128.6,5912137.8
150013,202201,167,118,49,143016,59388,202404
150020,202201,1095,597,498,723564,603576,1327140
150030,202201,695,311,384,376932.02,465408,842340.02
150034,202201,204,128,76,155136,92112,247248
150040,202201,1534,879,655,1065348,793860,1859208
150050,202201,679,386,293,469044,356328,825372
150060,202201,4812,3031,1781,3680741.8,2163922.96,5844664.76
150070,202201,443,228,215,277548,260580,538128
150080,202201,16193,7541,8652,9144545.52,10499562.02,19644107.54
150085,202201,417,269,148,326028,179376,505404
150090,202201,689,575,114,696900,138168,835068
150095,202201,43,29,14,35148,16968,52116
150100,202201,68,42,26,50904,31512,82416
150110,202201,214,120,94,145440,113928,259368
150120,202201,391,283,108,342996,130896,473892
150125,202201,48,17,31,20604,37572,58176
150130,202201,2117,1074,1043,1301688,1265328,2567016
150140,202201,57752,25397,32355,30796935.95,39236087.15,70033023.10
150145,202201,239,127,112,155136,135744,290880
150150,202201,3246,1421,1825,1723464,2214325.2,3937789.2
150157,202201,374,266,108,322392.6,132108,454500.6
150160,202201,128,97,31,117564,38784,156348
150170,202201,3880,2827,1053,3426324,1276236.6,4702560.6
150172,202201,345,240,105,292092,127260,419352
150175,202201,80,44,36,53328,43632,96960
150178,202201,755,509,246,616908,298152,915060
150180,202201,3206,1569,1637,1901628,1987680.6,3889308.6
150190,202201,365,235,130,284820.6,157560,442380.6
150195,202201,113,62,51,75144,61812,136956
150200,202201,188,93,95,112716,115140,227856
150210,202201,3224,2540,684,3078480.6,829008,3907488.6
150215,202201,606,376,230,455712.6,278760,734472.6
150220,202201,3522,2334,1188,2830021.67,1442280.36,4272302.03
150230,202201,1315,1043,272,1264116.3,329664,1593780.3
150240,202201,6832,3839,2993,4654082,3631153.8,8285235.8
150250,202201,69,38,31,46056,37572,83628
150260,202201,108,71,37,86052,44844,130896
150270,202201,2155,1387,768,1682256,932028.6,2614284.6
150275,202201,533,338,195,409656,237552,647208
150276,202201,112,40,72,48480,87264,135744
150277,202201,821,367,454,446016,551460,997476
150280,202201,367,248,119,300576,144228,444804
150285,202201,125,64,61,77568,73738.08,151306.08
150290,202201,1187,683,504,827796,610848,1438644
150293,202201,746,345,401,418140,486012,904152
150295,202201,538,246,292,298152,353904,652056
150300,202201,93,44,49,53328,59388,112716
150304,202201,191,112,79,135744,95748,231492
150307,202201,420,351,69,425412,83628,509040
150309,202201,585,410,175,496920,212100.36,709020.36
150310,202201,265,175,90,212100,110292,322392
150320,202201,1852,1283,569,1556208.54,689628.6,2245837.14
150330,202201,2068,1191,877,1444704,1062924,2507628
150340,202201,198,133,65,161196,78780,239976
150345,202201,631,349,282,422988,341784,764772
150350,202201,396,315,81,384204,99384,483588
150360,202201,4737,2855,1882,3463896,2284621.2,5748517.2
150370,202201,830,568,262,688416.6,317544,1005960.6
150375,202201,199,93,106,112716,128472,241188
150380,202201,1523,1006,517,1220484,626604,1847088
150390,202201,871,498,373,603576,453288,1056864
150400,202201,110,91,19,110292,23028,133320
150405,202201,1588,1007,581,1221697.48,705384,1927081.48
150410,202201,117,73,44,88476,53328,141804
150420,202201,7603,4097,3506,4970610.15,4250485.8,9221095.95
150430,202201,636,397,239,481164.6,289668,770832.6
150440,202201,450,278,172,336936,208464,545400
150442,202201,2329,1231,1098,1495609.2,1331988.6,2827597.8
150445,202201,542,352,190,426624.6,231492,658116.6
150450,202201,221,125,96,151500,116352,267852
150460,202201,709,532,177,644784,214524,859308
150470,202201,1296,773,523,936876,633876,1570752
150475,202201,241,186,55,225432,66660,292092
150480,202201,1368,946,422,1146552,511464,1658016
150490,202201,608,356,252,431472,305424,736896
150495,202201,336,253,83,306636,101808,408444
150497,202201,287,196,91,237552,110292,347844
150500,202201,249,149,100,180588,121200,301788
150503,202201,1270,625,645,757500.6,781740.6,1539241.2
150506,202201,913,620,293,751440,355116,1106556
150510,202201,1313,708,605,858097.2,733260,1591357.2
150520,202201,317,218,99,264216,119988,384204
150530,202201,1851,1021,830,1238664,1008384,2247048
150540,202201,202,150,52,181800,63024,244824
150543,202201,845,435,410,527220,498132,1025352
150548,202201,450,321,129,390264,156348,546612
150549,202201,71,45,26,54540,31512,86052
150550,202201,3039,1512,1527,1833756,1851936,3685692
150553,202201,3459,1946,1513,2359767.6,1834968,4194735.6
150555,202201,144,77,67,93324,81204,174528
150560,202201,50,23,27,27876,32724,60600
150563,202201,128,65,63,78780,76356,155136
150565,202201,205,128,77,155136,93324,248460
150570,202201,430,286,144,346632,174528,521160
150580,202201,1712,828,884,1003536,1072620,2076156
150590,202201,826,537,289,652056,350268,1002324
150600,202201,516,306,210,370872,254520.6,625392.6
150610,202201,154,124,30,150288,36360,186648
150611,202201,128,85,43,103020,52116,155136
150613,202201,3294,1871,1423,2268864.96,1727157.8,3996022.76
150616,202201,559,309,250,374508,304212,678720
150618,202201,1369,704,665,853248,809616,1662864
150619,202201,391,298,93,362388,112716,475104
150620,202201,1247,725,522,879912,632664,1512576
150630,202201,142,94,48,113928.6,58176,172104.6
150635,202201,448,197,251,238764,304212,542976
150640,202201,41,22,19,26664,23028,49692
150650,202201,2420,1392,1028,1689528,1245936.6,2935464.6
150655,202201,249,182,67,220584,81204,301788
150658,202201,82,49,33,59388,39996,99384
150660,202201,563,364,199,441168,241188,682356
150670,202201,1127,392,735,475104,890820,1365924
150680,202201,10573,5521,5052,6692667.1,6133935,12826602.1
150690,202201,27,14,13,16968,15756,32724
150700,202201,491,319,172,386628,208464,595092
150710,202201,290,168,122,203616,147864,351480
150715,202201,838,529,309,641148,375720,1016868
150720,202201,419,318,101,385416,122412,507828
150730,202201,1067,520,547,630240,662964,1293204
150740,202201,235,155,80,187860,96960,284820
150745,202201,755,424,331,513888,401172,915060
150746,202201,67,34,33,41208,39996,81204
150747,202201,245,181,64,219372,77568,296940
150750,202201,134,73,61,88476,73932,162408
150760,202201,1812,1168,644,1418040.9,781740,2199780.9
150770,202201,393,223,170,270276,206040,476316
150775,202201,102,54,48,65448,58176,123624
150780,202201,196,113,83,136956,100596,237552
150790,202201,656,373,283,452076,342996,795072
150795,202201,1625,978,647,1185336,785376,1970712
150796,202201,331,188,143,227856,173316,401172
150797,202201,389,182,207,220584,253308,473892
150800,202201,1566,876,690,1061712,836280,1897992
150803,202201,525,413,112,500556,135744,636300
150805,202201,209,122,87,147864,105444,253308
150808,202201,1039,536,503,649632,613272,1262904
150810,202201,3213,2187,1026,2650644.42,1243512.6,3894157.02
150812,202201,488,252,236,305424,286032,591456
150815,202201,1146,711,435,861732,527220,1388952
150820,202201,1542,938,604,1136856,733260,1870116
150830,202201,549,408,141,494496,170892,665388
150835,202201,223,128,95,155136,115140,270276
150840,202201,1399,839,560,1018080,679932,1698012
160005,202201,63,43,20,52116.89,24240.04,76356.93
160010,202201,195,125,70,151500.12,84840.08,236340.20
160015,202201,142,88,54,106656.06,65448,172104.06
160020,202201,136,71,65,86052.04,78780,164832.04
160021,202201,69,30,39,36360.64,47268.02,83628.66
160023,202201,67,43,24,52116.08,29088.04,81204.12
160025,202201,24,11,13,13332.02,15756.04,29088.06
160027,202201,1481,835,646,1018081.88,784164.96,1802246.84
160030,202201,16518,8498,8020,10304440.27,9732371.08,20036811.35
160040,202201,287,169,118,206040.12,143016.02,349056.14
160050,202201,738,359,379,435108.22,459348.06,894456.28
160053,202201,285,168,117,203616.26,141804.14,345420.40
160055,202201,22,14,8,16968.02,9696.02,26664.04
160060,202201,6611,3521,3090,4272310.71,3749935.04,8022245.75
160070,202201,190,113,77,136956.02,93324.02,230280.04
160080,202201,122,62,60,75144,72720,147864
170025,202201,28,15,13,18180,15756,33936
170030,202201,192,156,36,190284.24,43632,233916.24
170035,202201,201,95,106,115140,128472,243612
170040,202201,174,128,46,156348,55752,212100
170070,202201,318,200,118,243612,143016,386628
170100,202201,346,253,93,306636,112716,419352
170105,202201,46,39,7,47268,8484,55752
170110,202201,116,68,48,82416,58176,140592
170130,202201,72,37,35,44844,42420,87264
170190,202201,96,56,40,67872,48480,116352
170200,202201,344,237,107,287244,129684,416928
170210,202201,6358,3368,2990,4084150.37,3625094.4,7709244.77
170215,202201,129,64,65,77568,78780,156348
170220,202201,1348,981,367,1190184,444804.2,1634988.2
170230,202201,142,93,49,112716,59388,172104
170240,202201,501,339,162,410868.2,197556,608424.2
170255,202201,1038,842,196,1020504,237552,1258056
170270,202201,47,33,14,39996,16968,56964
170290,202201,126,80,46,96960,55752,152712
170300,202201,108,68,40,82416,48480,130896
170305,202201,48,37,11,44844,13332,58176
170307,202201,57,43,14,52116,16968,69084
170310,202201,120,70,50,84840,61812,146652
170320,202201,30,18,12,21816,14544,36360
170330,202201,29,22,7,26664,8484,35148
170360,202201,32,18,14,21816,16968,38784
170370,202201,88,44,44,53328,53328,106656
170380,202201,72,56,16,67872,19392,87264
170382,202201,36,31,5,37572,6060,43632
170384,202201,140,107,33,129684,39996,169680
170386,202201,70,30,40,36360,48480,84840
170388,202201,47,20,27,24240,32724,56964
170389,202201,25,20,5,24240,6060,30300
170390,202201,72,44,28,53328,33936,87264
170410,202201,24,22,2,26664,2424,29088
170460,202201,15,9,6,10908,7272,18180
170510,202201,32,24,8,29088,9696,38784
